lemma_id,lemma,in_model,nhg_infinitive,nhg_preterite,nhg_preterite_variants,variant_selection,confidence,source_infinitive,source_preterite,curator_note
141,können,no,können,konnte,konnte,single,high,dwds,unimorph-deu-d226d21,
142,leben,no,leben,lebte,lebte,single,high,dwds,unimorph-deu-d226d21,
143,legen,no,legen,legte,legte,single,high,dwds,unimorph-deu-d226d21,
116,loben,no,loben,lobte,lobte,single,high,dwds,unimorph-deu-d226d21,
95,lëschen,no,löschen,löschte,löschte,single,high,dwds,unimorph-deu-d226d21,
146,machen,no,machen,machte,machte,single,high,dwds,unimorph-deu-d226d21,
149,meinen,no,meinen,meinte,meinte,single,high,dwds,unimorph-deu-d226d21,
151,mugen,no,mögen,mochte,mochte,single,high,dwds,unimorph-deu-d226d21,
152,müssen,no,müssen,musste,musste,single,high,dwds,unimorph-deu-d226d21,
154,nennen,no,nennen,nannte,nannte,single,high,dwds,unimorph-deu-d226d21,
159,rechnen,no,rechnen,rechnete,rechnete,single,high,dwds,unimorph-deu-d226d21,
160,regieren,no,regieren,regierte,regierte,single,high,dwds,unimorph-deu-d226d21,
164,rennen,no,rennen,rannte,rannte,single,high,dwds,unimorph-deu-d226d21,
165,retten,no,retten,rettete,rettete,single,high,dwds,unimorph-deu-d226d21,
168,rächen,no,rächen,rächte,rächte,single,high,dwds,unimorph-deu-d226d21,
161,rîben,no,reiben,rieb,rieb,single,high,dwds,unimorph-deu-d226d21,
162,rîchen,no,reichen,reichte,reichte,single,high,dwds,unimorph-deu-d226d21,
169,sagen,no,sagen,sagte,sagte,single,high,dwds,unimorph-deu-d226d21,
410,salzen,no,salzen,salzte,salzte,single,high,unimorph,unimorph-deu-d226d21,
171,schaben,no,schaben,schabte,schabte,single,high,dwds,unimorph-deu-d226d21,
6,schaffen,no,schaffen,schuf,schuf|schaffte,policy,policy,dwds,unimorph-deu-d226d21,"schaffte belongs to the weak homograph schaffen 'manage, work'; MHG schaffen 'create' continues as schuf"
174,schicken,no,schicken,schickte,schickte,single,high,dwds,unimorph-deu-d226d21,
54,schîden,no,bescheiden,beschied,beschied,single,high,dwds,unimorph-deu-d226d21,
189,senden,no,senden,sandte,sendete|sandte,policy,policy,dwds,unimorph-deu-d226d21,Rückumlauf form is the commoner standard variant
191,setzen,no,setzen,setzte,setzte,single,high,dwds,unimorph-deu-d226d21,
195,sollen,no,sollen,sollte,sollte,single,high,dwds,unimorph-deu-d226d21,
197,spinnen,no,spinnen,spann,spann,single,high,dwds,unimorph-deu-d226d21,
60,stellen,no,stellen,stellte,stellte,single,high,dwds,unimorph-deu-d226d21,
202,strafen,no,strafen,strafte,strafte,single,high,dwds,unimorph-deu-d226d21,
205,studieren,no,studieren,studierte,studierte,single,high,dwds,unimorph-deu-d226d21,
9,stân,no,stehen,stand,stand,single,high,dwds,unimorph-deu-d226d21,
206,suchen,no,suchen,suchte,suchte,single,high,dwds,unimorph-deu-d226d21,
182,swèifen,no,schweifen,schweifte,schweifte,single,high,dwds,unimorph-deu-d226d21,
207,säumen,no,säumen,säumte,säumte,single,high,dwds,unimorph-deu-d226d21,
187,sîhen,no,seihen,seihte,seihte,single,high,dwds,unimorph-deu-d226d21,
209,tugen,no,taugen,taugte,taugte,single,high,dwds,unimorph-deu-d226d21,
212,verdammen,no,verdammen,verdammte,verdammte,single,high,dwds,unimorph-deu-d226d21,
213,verderben,no,verderben,verdarb,verdarb,single,high,dwds,unimorph-deu-d226d21,
216,verraten,no,verraten,verriet,verriet,single,high,dwds,unimorph-deu-d226d21,
105,vlëhten,no,flechten,flocht,flechtete|flocht,policy,policy,dwds,unimorph-deu-d226d21,strong form is the standard one; flechtete is rare
99,wachen,no,wachen,wachte,wachte,single,high,dwds,unimorph-deu-d226d21,
445,walken,no,walken,walkte,walkte,single,high,unimorph,unimorph-deu-d226d21,
219,warten,no,warten,wartete,wartete,single,high,dwds,unimorph-deu-d226d21,
28,wenden,no,wenden,wandte,wendete|wandte,policy,policy,dwds,unimorph-deu-d226d21,Rückumlauf form is the commoner standard variant
222,werden,no,werden,wurde,wurde|ward,policy,policy,dwds,unimorph-deu-d226d21,ward is archaic; wurde is the modern form
224,wohnen,no,wohnen,wohnte,wohnte,single,high,dwds,unimorph-deu-d226d21,
102,wägen,no,wägen,wog,wog,single,high,dwds,unimorph-deu-d226d21,
367,wëben,no,weben,wob,webte|wob,policy,policy,unimorph,unimorph-deu-d226d21,"strong form still current, if elevated"
34,wîsen,no,weisen,wies,wies,single,high,dwds,unimorph-deu-d226d21,
29,zeigen,no,zeigen,zeigte,zeigte,single,high,dwds,unimorph-deu-d226d21,
66,zeugen,no,zeugen,zeugte,zeugte,single,high,dwds,unimorph-deu-d226d21,
217,zëren,no,zehren,zehrte,zehrte,single,high,dwds,unimorph-deu-d226d21,
227,üben,no,üben,übte,übte,single,high,dwds,unimorph-deu-d226d21,
