ENHG Lemma,MHG Candidates,Link
essen,ëzzen,https://www.dwds.de/wb/etymwb/essen
saugen,sûgen,https://www.dwds.de/wb/etymwb/saugen
befinden,vinden,https://www.dwds.de/wb/etymwb/befinden
gönnen,gunnen,https://www.dwds.de/wb/etymwb/gönnen
ziehen,zièhen,https://www.dwds.de/wb/etymwb/ziehen
schwören,swèren,https://www.dwds.de/wb/etymwb/schwören
bringen,bringen,https://www.dwds.de/wb/etymwb/bringen
triefen,trièfen,https://www.dwds.de/wb/etymwb/triefen
verweisen,wîsen,https://www.dwds.de/wb/etymwb/verweisen
geben,gëben,https://www.dwds.de/wb/etymwb/geben
graben,graben,https://www.dwds.de/wb/etymwb/graben
dringen,dringen,https://www.dwds.de/wb/etymwb/dringen
heben,hèben,https://www.dwds.de/wb/etymwb/heben
scheinen,schînen,https://www.dwds.de/wb/etymwb/scheinen
zeihen,zîhen,https://www.dwds.de/wb/etymwb/zeihen
aufschneiden,snîden,https://www.dwds.de/wb/etymwb/aufschneiden
nehmen,nëmen,https://www.dwds.de/wb/etymwb/nehmen
beginnen,ginnen,https://www.dwds.de/wb/etymwb/beginnen
treffen,trëffen,https://www.dwds.de/wb/etymwb/treffen
fallen,vallen,https://www.dwds.de/wb/etymwb/fallen
hängen,hâhen,https://www.dwds.de/wb/etymwb/hängen
taugen,tugen,https://www.dwds.de/wb/etymwb/taugen
werfen,wërfen,https://www.dwds.de/wb/etymwb/werfen
gelingen,lingen,https://www.dwds.de/wb/etymwb/gelingen
sinnen,sinnen,https://www.dwds.de/wb/etymwb/sinnen
blasen,blâsen,https://www.dwds.de/wb/etymwb/blasen
klimmen,klimmen,https://www.dwds.de/wb/etymwb/klimmen
mögen,mugen,https://www.dwds.de/wb/etymwb/mögen
wachen,wachen,https://www.dwds.de/wb/etymwb/wachen
schaffen,schaffen,https://www.dwds.de/wb/etymwb/schaffen
sprechen,sprëchen,https://www.dwds.de/wb/etymwb/sprechen
binden,binden,https://www.dwds.de/wb/etymwb/binden
besitzen,sitzen,https://www.dwds.de/wb/etymwb/besitzen
hauen,houwen,https://www.dwds.de/wb/etymwb/hauen
