seq_id,lemma_id,principal_part,n_obs
398,138,2,5
399,138,3,2
400,138,4,6
401,139,1,19
402,139,2,8
403,139,3,4
404,139,4,7
405,140,1,15
406,140,4,11
407,142,1,29
408,142,2,27
409,142,3,16
410,142,4,24
411,143,1,4
412,143,2,4
413,143,3,2
414,144,1,6
415,144,4,3
416,146,1,12
417,146,2,10
418,146,3,6
419,148,1,14
420,148,2,7
421,148,3,3
422,148,4,8
423,149,1,3
424,150,1,2
425,150,2,4
426,151,1,8
427,151,3,4
428,151,4,5
429,152,1,6
430,152,3,5
431,152,4,15
432,153,1,12
433,153,4,15
434,154,1,4
435,154,2,2
436,154,4,5
437,155,1,25
438,155,2,15
439,155,3,15
440,155,4,3
441,156,1,3
442,157,1,5
443,157,3,2
444,157,4,2
445,159,1,6
446,159,3,3
447,159,4,4
448,160,1,7
449,160,2,6
450,160,3,3
451,160,4,5
452,161,1,3
453,162,1,5
454,162,4,3
455,163,1,8
456,163,2,5
457,163,4,4
458,165,1,11
459,165,2,2
460,165,4,6
461,166,1,2
462,168,1,5
463,168,4,4
464,169,1,16
465,169,2,7
466,169,3,8
467,169,4,7
468,170,1,18
469,170,2,10
470,170,3,9
471,170,4,35
472,171,1,3
473,171,4,3
474,173,1,5
475,174,1,5
476,174,2,3
477,174,3,2
478,174,4,6
479,175,1,7
480,175,3,6
481,175,4,2
482,176,1,25
483,176,2,13
484,176,3,13
485,176,4,6
486,177,1,3
487,177,4,5
488,178,1,2
489,178,4,2
490,1,1,83
491,1,2,69
492,1,3,58
493,1,4,75
494,2,1,69
495,2,2,36
496,2,3,20
497,2,4,22
498,3,1,80
499,3,2,70
500,3,3,69
501,3,4,64
502,4,1,80
503,4,2,64
504,4,3,54
505,4,4,54
506,5,1,45
507,5,2,35
508,5,3,21
509,5,4,13
510,6,1,21
511,6,2,12
512,6,4,24
513,7,1,65
514,7,2,47
515,7,3,39
516,7,4,57
517,8,1,30
518,8,2,16
519,8,3,7
520,8,4,16
521,9,1,81
522,9,2,53
523,9,3,49
524,9,4,52
525,10,1,68
526,10,2,42
527,10,3,30
528,10,4,21
529,11,1,75
530,11,2,50
531,11,3,39
532,11,4,39
533,12,1,61
534,12,2,34
535,12,3,22
536,12,4,40
537,13,1,28
538,13,2,28
539,13,3,15
540,13,4,10
541,14,1,53
542,14,2,41
543,14,3,46
544,14,4,46
545,15,1,27
546,15,2,10
547,15,3,11
548,15,4,9
549,16,1,43
550,16,2,31
551,16,3,27
552,16,4,33
553,17,1,52
554,17,2,29
555,17,3,21
556,17,4,37
557,18,1,60
558,18,2,56
559,18,3,25
560,18,4,42
561,19,1,45
562,19,2,46
563,19,3,44
564,19,4,64
565,20,1,40
566,20,2,22
567,20,3,15
568,20,4,10
569,21,1,82
570,21,2,68
571,21,3,51
