seq_id,lemma_id,principal_part,n_obs
348,96,4,1
349,97,1,37
350,97,2,13
351,97,3,10
352,97,4,8
353,98,1,17
354,98,3,1
355,98,4,1
356,99,1,30
357,99,3,1
358,99,4,25
359,100,1,14
360,100,2,13
361,100,3,3
362,100,4,43
363,101,1,9
364,101,2,5
365,101,4,5
366,102,1,1
367,102,4,23
368,103,1,18
369,103,2,9
370,103,3,4
371,103,4,8
372,104,1,1
373,104,3,1
374,104,4,6
375,105,1,21
376,105,2,18
377,105,3,17
378,105,4,22
379,106,1,57
380,106,2,38
381,106,3,13
382,106,4,21
383,107,1,88
384,107,2,80
385,107,3,31
386,107,4,56
387,108,1,81
388,108,2,71
389,108,3,35
390,108,4,58
391,109,1,11
392,109,4,11
393,110,1,30
394,110,2,30
395,110,3,20
396,111,1,22
397,111,2,25
398,111,3,9
399,111,4,20
400,112,1,28
401,112,2,21
402,112,3,6
403,112,4,2
404,113,1,11
405,113,2,8
406,113,3,4
407,113,4,3
408,114,1,17
409,114,2,8
410,114,3,9
411,114,4,21
412,115,1,12
413,115,4,4
414,116,1,9
415,116,2,3
416,116,3,3
417,116,4,1
418,117,1,12
419,117,3,1
420,117,4,3
421,118,1,29
422,118,2,30
423,118,3,25
424,118,4,35
425,119,1,31
426,119,2,3
427,119,4,23
428,120,1,17
429,120,4,12
430,121,1,18
431,121,2,2
432,122,1,10
433,122,2,2
434,122,3,1
435,122,4,1
436,123,1,6
437,123,2,3
438,123,3,3
439,123,4,1
440,124,1,1
441,124,2,4
442,124,3,1
443,125,1,9
444,125,4,11
445,126,1,29
446,126,2,7
447,126,3,1
448,126,4,24
449,127,1,41
450,127,2,21
451,127,3,6
452,127,4,31
453,128,1,74
454,128,2,31
455,128,3,11
456,128,4,53
457,129,1,43
458,129,2,1
459,129,4,50
460,130,1,18
461,130,2,1
462,130,3,1
463,130,4,1
464,131,1,44
465,131,2,14
466,131,3,9
467,131,4,17
468,132,1,3
469,132,4,10
470,133,1,29
471,133,2,1
472,133,3,3
473,133,4,1
474,134,1,1
475,134,3,1
476,135,1,3
477,136,1,17
478,136,4,43
479,137,1,63
480,137,2,53
481,137,3,26
482,137,4,17
483,138,1,6
484,138,2,6
485,138,3,2
486,138,4,2
487,139,1,1
488,139,4,1
489,140,1,2
490,141,1,5
491,141,4,2
492,142,1,4
493,142,4,3
494,143,1,48
495,143,2,59
496,143,3,50
497,143,4,34
498,144,1,1
499,144,4,4
500,145,1,8
501,145,2,3
502,145,4,5
503,146,1,26
504,146,2,25
505,146,3,9
506,146,4,13
507,147,1,49
508,147,2,20
509,147,3,15
510,147,4,20
511,148,1,40
512,148,4,34
513,149,1,5
514,150,1,1
515,150,4,1
516,151,1,71
517,151,2,57
518,151,3,33
519,151,4,61
520,152,1,22
521,152,2,10
522,152,3,5
523,152,4,4
524,153,1,17
525,153,4,19
526,154,1,10
527,154,2,8
528,154,3,2
529,154,4,1
530,155,1,33
531,155,2,27
532,155,3,13
533,155,4,2
534,156,1,2
535,156,2,7
536,156,3,1
537,157,1,2
538,157,2,4
539,157,3,1
540,158,1,38
541,158,2,18
542,158,3,6
543,158,4,18
544,159,1,11
545,159,2,6
546,159,3,3
547,160,1,12
548,160,2,12
549,160,3,3
550,160,4,8
551,161,1,5
552,161,2,8
553,161,3,4
554,162,1,1
555,163,1,12
556,163,2,1
557,163,3,4
558,163,4,9
559,164,1,17
560,164,2,4
561,164,3,8
562,164,4,35
563,165,1,31
564,165,3,3
565,165,4,41
566,166,1,9
567,166,2,3
568,166,4,11
569,167,1,60
570,167,2,38
571,167,3,28
572,167,4,17
573,168,1,10
574,168,2,5
575,168,3,3
576,168,4,3
577,169,1,7
578,169,3,2
579,169,4,2
580,170,1,2
581,170,2,1
582,170,4,1
583,171,1,20
584,171,2,9
585,171,3,5
586,171,4,16
587,172,1,25
588,172,2,27
589,172,3,6
590,172,4,10
591,173,1,4
592,173,2,3
593,173,3,1
594,173,4,1
595,174,1,17
596,174,2,2
597,174,3,1
598,175,1,17
599,175,4,8
600,176,1,21
601,176,2,22
602,176,3,7
603,176,4,13
604,177,1,2
605,178,1,29
606,178,2,2
607,178,3,1
608,178,4,19
609,179,1,21
610,179,2,20
611,179,3,7
612,180,1,4
613,180,2,2
614,180,3,1
615,181,1,2
616,181,4,3
617,182,1,21
618,182,2,4
619,182,4,10
620,183,1,49
621,183,2,34
622,183,3,21
623,183,4,28
624,184,1,51
625,184,2,41
626,184,3,28
627,184,4,85
628,185,1,4
629,185,4,8
630,186,1,9
631,186,4,18
632,187,1,20
633,188,1,20
634,188,2,14
635,188,3,6
636,188,4,16
637,189,1,3
638,189,2,7
639,189,3,3
640,190,1,10
641,190,2,1
642,190,3,13
643,190,4,5
644,191,1,62
645,191,2,30
646,191,3,29
647,191,4,20
648,192,1,12
649,192,2,1
650,192,4,8
651,193,1,8
652,193,4,5
653,194,1,4
654,194,2,1
655,194,4,1
656,195,1,1
657,195,4,1
658,196,1,35
659,196,2,28
660,196,3,20
661,196,4,40
662,197,1,13
663,197,2,16
664,197,4,1
665,198,1,36
666,198,2,12
667,198,3,14
668,199,1,4
669,199,2,8
670,199,3,5
671,199,4,6
672,200,1,55
673,200,2,49
674,200,3,35
675,200,4,35
676,201,1,44
677,201,2,28
678,201,3,20
679,201,4,16
680,202,1,5
681,202,2,2
682,202,3,2
683,202,4,3
684,203,1,53
685,203,2,45
686,203,3,42
687,203,4,32
688,204,1,46
689,204,2,31
690,204,3,29
691,204,4,22
692,205,1,2
693,205,2,4
694,205,4,4
695,206,1,15
696,206,2,12
697,206,3,6
698,207,1,25
699,207,2,11
700,207,3,3
701,207,4,1
702,208,1,5
703,208,3,3
704,208,4,1
705,209,1,7
706,209,2,5
707,209,3,6
708,209,4,3
709,210,1,2
710,210,4,2
711,211,1,3
712,211,2,2
713,211,3,4
714,211,4,6
715,212,1,13
716,212,2,40
717,212,3,17
718,212,4,28
719,213,1,3
720,213,2,2
721,213,3,2
722,213,4,2
723,214,1,22
724,214,2,25
725,214,3,7
726,214,4,28
727,215,1,11
728,215,2,6
729,215,4,1
730,216,1,4
731,216,2,2
732,216,4,3
733,217,1,5
734,217,2,4
735,217,3,3
736,217,4,7
737,218,1,7
738,218,2,4
739,218,4,5
740,219,1,27
741,219,2,23
742,219,3,14
743,219,4,23
744,220,1,15
745,220,2,9
746,220,3,2
747,220,4,7
748,221,1,4
749,221,2,8
750,221,3,2
751,221,4,5
752,222,1,6
753,222,2,5
754,222,3,3
755,223,1,1
756,223,2,1
757,224,1,3
758,224,2,3
759,224,3,1
760,224,4,1
761,225,1,30
762,225,2,29
763,225,3,9
764,225,4,14
765,226,1,26
766,226,2,30
767,226,3,9
768,226,4,30
769,227,1,9
770,227,2,8
771,227,4,4
772,228,1,38
773,228,2,29
774,228,3,23
775,228,4,25
776,229,1,12
777,229,2,2
778,229,3,3
779,229,4,12
780,230,1,44
781,230,2,33
782,230,3,28
783,230,4,37
784,231,1,46
785,231,2,40
786,231,3,33
787,231,4,21
788,232,1,4
789,232,2,4
790,232,3,1
791,232,4,5
792,233,1,4
793,233,3,1
794,233,4,3
795,234,1,2
796,234,4,1
797,235,1,3
798,235,2,1
799,235,3,2
800,235,4,1
801,236,1,4
802,236,2,1
803,236,4,1
804,237,1,1
805,237,2,3
806,237,4,6
807,238,1,41
808,238,2,25
809,238,3,21
810,238,4,48
811,239,1,20
812,239,2,13
813,239,3,9
814,239,4,8
815,240,1,19
816,240,2,14
817,240,3,5
818,240,4,6
819,241,1,34
820,241,2,11
821,241,3,6
822,241,4,16
823,242,1,7
824,242,2,5
825,242,3,1
826,242,4,2
827,243,1,1
828,243,2,1
829,244,1,12
830,244,2,12
831,244,3,10
832,244,4,10
833,245,1,4
834,245,2,7
835,245,3,2
836,246,1,21
837,246,2,10
838,246,3,8
839,246,4,6
840,247,1,1
841,247,4,1
842,248,1,21
843,248,2,11
844,248,3,2
845,249,1,2
846,249,2,2
847,249,4,3
848,250,1,7
849,250,2,4
850,250,3,2
851,250,4,2
852,251,1,17
853,251,2,16
854,251,3,7
855,252,1,16
856,252,2,5
857,252,3,3
858,252,4,3
859,253,1,26
860,253,2,13
861,253,3,3
862,253,4,3
863,254,1,9
864,254,2,1
865,254,3,2
866,254,4,2
867,255,1,13
868,255,2,14
869,255,3,7
870,255,4,13
871,256,1,7
872,256,2,9
873,256,3,4
874,256,4,1
875,257,1,34
876,257,2,27
877,257,3,16
878,257,4,29
879,258,1,5
880,259,1,6
881,259,2,3
882,259,3,1
883,259,4,5
884,260,1,11
885,260,2,5
886,260,3,5
887,260,4,1
888,261,1,4
889,261,2,1
890,261,3,1
891,261,4,3
892,262,1,1
893,262,4,1
894,263,1,2
895,263,2,1
896,263,4,1
897,264,1,6
898,264,2,4
899,264,3,1
900,265,1,44
901,265,2,21
902,265,3,9
903,265,4,10
904,266,1,12
905,266,2,2
906,266,3,3
907,266,4,2
908,267,1,5
909,267,2,15
910,267,3,6
911,267,4,4
912,268,1,3
913,268,2,2
914,268,3,3
915,268,4,6
916,269,1,3
917,269,2,2
918,269,3,3
919,269,4,4
920,270,1,3
921,270,2,4
922,270,3,3
923,270,4,1
924,271,1,17
925,271,4,3
926,272,1,16
927,272,2,10
928,272,3,8
929,272,4,7
930,273,1,55
931,273,2,38
932,273,3,30
933,273,4,2
934,274,1,3
935,274,2,1
936,274,4,4
937,275,1,5
938,275,2,4
939,276,1,2
940,276,2,2
941,276,3,3
942,277,1,2
943,277,2,3
944,278,1,1
945,278,2,2
946,278,3,2
947,278,4,2
948,279,1,1
949,279,4,2
950,280,1,2
951,281,1,4
952,281,2,3
953,281,4,1
954,282,1,3
955,282,2,1
956,283,1,3
957,283,4,2
958,284,1,4
959,284,3,2
960,284,4,5
961,285,1,5
962,285,2,6
963,285,3,4
964,286,1,3
