form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation
gieng,gienc,gân,|g=g|ie=iè|n=n|g=g|,1100.0,M001,3931,1.5240710959199404,71,0.0275271045052952,MHG,1,Central German,2,gân,gienc,gân,gienc,ga,yes,yes
zoh,zôch,zièhen,|z=z|o=ô|h=h|,1100.0,M001,522,0.202382373968509,34,0.0131819937067611,MHG,275,Central German,2,zièhen,zôch,ziehen,zoχ,zieh,yes,yes
geſ,gês,gân,|g=g|e=ê|s=s|,1100.0,M001,3931,1.5240710959199404,5,0.0019385284862884,MHG,1,Central German,1,gân,gês,gân,ges,ga,yes,no
rideſ,rîtes,rîten,|r=r|i=î|d=t|e=e|s=s|,1100.0,M001,994,0.3853794630741339,1,0.0003877056972576,MHG,162,Central German,1,rîten,rîtes,rîten,rit,rit,no,no
riten,rîten,rîten,|r=r|i=î|t=t|e=e|n=n|,1100.0,M001,994,0.3853794630741339,231,0.0895600160665241,MHG,162,Central German,1,rîten,rîten,rîten,rit,rit,no,no
giengon,giengen,gân,|g=g|ie=iè|n=n|g=g|o=é|n=n|,1100.0,M002,3931,1.5240710959199404,1,0.0003877056972576,MHG,1,Central German,3,gân,giengen,gân,gieng,ga,yes,yes
ſprach,sprach,sprëchen,|s=s|p=p|r=r|a=a|ch=ch|,1100.0,M002,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Central German,2,sprëchen,sprach,sprechen,spraχ,spreχ,yes,no
gegan,gegân,ge-gân,|g=g|e=e|=-|g=g|a=â|n=n|,1100.0,M002,24,0.0093049367341843,48,0.0186098734683686,MHG,1,Central German,1,gân,gegân,gân,ga,ga,no,no
ſtuont,stuont,stân,|s=s|t=t|uo=uo|n=n|t=t|,1100.0,M002,2872,1.113490762524057,12,0.0046524683670921,MHG,9,Central German,2,stân,stuont,stân,stuon,sta,yes,no
ſprecheſt,sprechest,sprëchen,|s=s|p=p|r=r|e=ë|ch=ch|e=e|s=s|t=t|,1150.0,M004,11533,4.471409806472824,3,0.001163117091773,MHG,27,Upper German,1,sprëchen,sprechest,sprechen,spreχ,spreχ,no,no
geſchehen,geschehen,ge-schëhen,|g=g|e=e|=-|sch=sch|e=ë|h=h|e=e|n=n|,1150.0,M004,2495,0.9673257146579116,222,0.0860706647912049,MHG,118,Upper German,1,schëhen,geschehen,geschihet,ʃeh,ʃih,yes,no
geborn,geboren,ge-bër(e)n,|g=g|e=e|=-|b=b|o=o|r=r|=e|n=n|,1150.0,M004,947,0.367157295303023,544,0.2109118993081779,MHG,295,Upper German,4,bëren,geboren,entbern,bor,ber,yes,no
erchorn,erkoren,er-kièsen,|e=e|r=r|=-|ch=k|o=o|r=r|=e|n=n|,1150.0,M004,236,0.0914985445528124,21,0.0081418196424112,MHG,329,Upper German,4,kièsen,erkoren,kiesen,kor,kies,yes,yes
nichte,nîgte,nîgen/nider(e)>+,|n=n|i=î|ch=g|t=t|e=e|,1150.0,M004,3,0.001163117091773,1,0.0003877056972576,MHG,354,Upper German,2,nîgen,nîgte,nîgen,nigt,nig,no,no
giengen,giengen,gân,|g=g|ie=iè|n=n|g=g|e=e|n=n|,1150.0,M004,3931,1.5240710959199404,180,0.0697870255063824,MHG,1,Upper German,3,gân,giengen,gên,gieng,ge,yes,yes
geſehen,gesehen,sëhen,|g=g|e=e|=-|s=s|e=ë|h=h|[e]=e|[n]=n|,1150.0,M004,4169,1.6163450518672682,322,0.1248412345169729,MHG,22,Upper German,4,sëhen,gesehen,sehen,seh,seh,no,no
geſchach,geschach,ge-schëhen,|g=g|e=e|=-|sch=sch|a=a|c[h]=h|,1150.0,M004,2495,0.9673257146579116,425,0.164774921334514,MHG,118,Upper German,2,schëhen,geschach,geschihet,ʃaχ,ʃih,yes,yes
lie,lie,lâzen,|l=l|ie=iè|,1150.0,M004,3725,1.4442037222848585,142,0.0550542090105905,MHG,4,Upper German,2,lâzen,lie,lâzen,li,laz,yes,no
gewinnen,gewinnen,ge-winnen,|g=g|e=e|=-|w=w|i=i|nn=nn|e=e|n=n|,1150.0,M004,1883,0.7300498279362115,238,0.0922739559473278,MHG,120,Upper German,1,winnen,gewinen,gewinen,win,win,no,no
ſprach,sprach,sprëchen/zuo>+,|s=s|p=p|r=r|a=a|ch=ch|,1150.0,M004,74,0.0286902215970683,3979,1.542680969388309,MHG,27,Upper German,2,sprëchen,sprach,sprechen,spraχ,spreχ,yes,no
enphienc,entvienc,ent-vâhen,|e=e|n=n|ph=t-v|ie=iè|n=n|c=g|,1150.0,M004,1799,0.6974825493665664,21,0.0081418196424112,MHG,19,Upper German,2,vâhen,entvienc,entvâhen,vienc,vah,yes,yes
giench,gienc,gân,|g=g|ie=iè|n=n|ch=g|,1150.0,M004,3931,1.5240710959199404,48,0.0186098734683686,MHG,1,Upper German,2,gân,gienc,gên,gienc,ge,yes,yes
huͦb,huop,hèben,|h=h|u\o=uo|b=b|,1150.0,M004,657,0.2547226430982958,77,0.0298533386888413,MHG,90,Upper German,2,hèben,huop,hebet,huop,heb,yes,no
fuͦr,vuor,var(e)n,|f=v|u\o=uo|r=r|,1150.0,M004,2188,0.848300065599804,111,0.0430353323956024,MHG,89,Upper German,2,varen,vuor,varn,vuor,var,yes,no
geſcriben,geschriben,schrîben,|g=g|e=e|=-|sc=sch|r=r|i=i|b=b|e=e|n=n|,1150.0,M004,1626,0.6304094637409878,202,0.0783165508460513,MHG,26,Upper German,4,schrîben,geschriben,schrîben,ʃrib,ʃrib,no,no
ſtet,stêt,stân,|s=s|t=t|e=ê|t=t|,1150.0,M004,2872,1.113490762524057,357,0.1384109339209917,MHG,9,Upper German,1,stân,stêt,stêt,ste,ste,no,no
tete,tete,tuon,|t=t|e=ë|t=t|e=e|,1150.0,M004,8576,3.3249640596818644,296,0.1147608863882733,MHG,14,Upper German,2,tuon,tete,tuon,tet,tuo,yes,yes
gebot,gebôt,ge-bièten,|g=g|e=e|=-|b=b|o=ô|t=t|,1150.0,M004,1098,0.4257008555889327,431,0.1671011555180601,MHG,18,Upper German,2,bièten,gebôt,gebiutet,bo,biut,yes,no
geſach,gesach,ge-sëhen,|g=g|e=e|=-|s=s|a=a|ch=h|,1150.0,M004,1120,0.4342303809286016,305,0.1182502376635924,MHG,22,Upper German,2,sëhen,gesach,sehen,saχ,seh,yes,yes
genaſ,genas,ge-nësen,|g=g|e=e|=-|n=n|a=a|s=s|,1150.0,M004,578,0.224093893014939,48,0.0186098734683686,MHG,117,Upper German,2,nësen,genas,genesen,nas,nes,yes,no
uernamen,vernâmen,ver-nëmen,|u=v|e=e|r=r|=-|n=n|a=â|m=m|e=e|n=n|,1150.0,M004,1523,0.5904757769234468,62,0.0240377532299761,MHG,47,Upper German,3,nëmen,vernâmen,nemen,nam,nem,yes,no
chomen,kômen,komen,|ch=k|o=ô|m=m|e=e|n=n|,1150.0,M004,8461,3.280377904497231,780,0.3024104438609905,MHG,3,Upper German,3,komen,kômen,kumet,kom,kum,yes,no
begangen,begangen,be-gân,|b=b|e=e|=-|g=g|a=a|n=n|g=g|e=e|n=n|,1150.0,M004,716,0.2775972792364989,66,0.0255885760190068,MHG,1,Upper German,4,gân,begangen,gên,gang,ge,yes,yes
beuangen,bevangen,be-vâhen,|b=b|e=e|=-|u=v|a=a|n=n|g=g|e=e|n=n|,1150.0,M004,174,0.0674607913228363,63,0.0244254589272338,MHG,19,Upper German,4,vâhen,bevangen,entvâhen,vang,vah,no,yes
geſazen,gesâzen,ge-sitzen,|g=g|e=e|=-|s=s|a=â|z=z|e=e|n=n|,1150.0,M004,144,0.0558296204051059,9,0.0034893512753191,MHG,57,Upper German,3,sitzen,gesâzen,sitzen,saz,siʦ,yes,yes
beſniden,besnîden,be-snîden,|b=b|e=e|=-|s=s|n=n|i=î|d=d|e=e|n=n|,1150.0,M004,77,0.0298533386888413,13,0.0050401740643498,MHG,8,Upper German,1,snîden,besnîden,snîden,snid,snid,no,no
nam,nam,nëmen,|n=n|a=a|m=m|,1150.0,M004,4030,1.5624539599484506,1167,0.4524525486997126,MHG,47,Upper German,2,nëmen,nam,nemen,nam,nem,yes,no
begunden,begunden,be-ginnen,|b=b|e=e|=-|g=g|u=u|n=n|d=d|e=e|n=n|,1150.0,M004,1927,0.7471088786155495,181,0.0701747312036401,MHG,40,Upper German,3,ginnen,begunden,beginet,gu,gin,yes,no
ſtuͦnt,[stuont],stân,*|[stu\ont]=[stuont]|,1150.0,M004,2872,1.113490762524057,111,0.0430353323956024,MHG,9,Upper German,2,stân,stuont,stêt,stuon,ste,yes,no
bat,bat,biten,|b=b|a=a|t=t|,1150.0,M004,2127,0.8246500180670855,658,0.2551103487955535,MHG,276,Upper German,2,biten,bat,biten,ba,bit,yes,no
ſcreib,schreip,schrîben,|sc=sch|r=r|ei=èi|b=b|,1150.0,M004,1626,0.6304094637409878,23,0.0089172310369266,MHG,26,Upper German,2,schrîben,schreip,schrîben,ʃreip,ʃrib,yes,no
uoleſcreib,volleschreip,voll-schrîben,|u=v|o=o|l=ll|e=e|=-|sc=sch|r=r|ei=èi|b=b|,1150.0,M004,6,0.002326234183546,1,0.0003877056972576,MHG,26,Upper German,2,schrîben,voleschreip,schrîben,voleʃreip,ʃrib,yes,yes
ſweich,sweic,swîgen,|s=s|w=w|ei=èi|ch=g|,1150.0,M004,178,0.069011614111867,7,0.0027139398808037,MHG,182,Upper German,2,swîgen,sweic,swîgen,sweic,swig,yes,yes
getan,getân,tuon,|g=g|e=e|=-|t=t|a=â|n=n|,1150.0,M004,8576,3.3249640596818644,1415,0.5486035616196173,MHG,14,Upper German,4,tuon,getân,tuon,ta,tuo,yes,no
geheizen,geheizen,hèizen,|g=g|e=e|=-|h=h|ei=èi|z=z|e=e|n=n|,1150.0,M004,4528,1.7555313971827753,145,0.0562173261023636,MHG,235,Upper German,4,hèizen,geheizen,heizet,heiz,heiz,no,no
lazen,lâzen,lâzen,|l=l|a=â|z=z|e=e|n=n|,1150.0,M004,3725,1.4442037222848585,321,0.1244535288197153,MHG,4,Upper German,1,lâzen,lâzen,lâzen,laz,laz,no,no
geſcophen,geschepfen,ge-schèpfen,|g=g|e=e|=-|sc=sch|o=è|ph=pf|e=e|n=n|,1150.0,M004,181,0.0701747312036401,1,0.0003877056972576,MHG,252,Upper German,1,schèpfen,geschepfen,schepfen,ʃef,ʃef,no,no
enphie,entvieng,ent-vâhen,|e=e|n=n|=t|=-|ph=v|ie=iè|=ng|,1150.0,M004,1799,0.6974825493665664,79,0.0306287500833567,MHG,19,Upper German,2,vâhen,entvieng,entvâhen,vieng,vah,yes,yes
beginnen,beginnen,be-ginnen,|b=b|e=e|=-|g=g|i=i|nn=nn|e=e|n=n|,1150.0,M004,1927,0.7471088786155495,35,0.0135696994040188,MHG,40,Upper German,1,ginnen,beginen,beginet,gin,gin,no,no
zoh,zôch,zièhen,|z=z|o=ô|h=h|,1150.0,M004,522,0.202382373968509,34,0.0131819937067611,MHG,275,Upper German,2,zièhen,zôch,ziehen,zoχ,zieh,yes,yes
begunde,begunde,be-ginnen,|b=b|e=e|=-|g=g|u=u|n=n|d=d|e=e|,1150.0,M004,1927,0.7471088786155495,394,0.1527560447195259,MHG,40,Upper German,2,ginnen,begunde,beginet,gu,gin,yes,no
gewhſ,gewuohs,ge-wahsen,|g=g|e=e|=-|w=w|=uo|hs=hs|,1150.0,M004,33,0.0127942880095034,1,0.0003877056972576,MHG,99,Upper German,2,wahsen,gewuohs,wehset,wuohs,wehs,yes,no
trug,truoc,tragen,|t=t|r=r|u=uo|g=g|,1150.0,M004,1651,0.6401021061724298,24,0.0093049367341843,MHG,11,Upper German,2,tragen,truoc,tragen,truoc,trag,yes,yes
truͦge,trüege,tragen,|t=t|r=r|u\o=üè|g=g|e=e|,1150.0,M004,1651,0.6401021061724298,14,0.0054278797616075,MHG,11,Upper German,3,tragen,trüege,tragen,trüeg,trag,yes,no
gebeten,gebeten,biten,|g=g|e=e|=-|b=b|e=ë|t=t|e=e|n=n|,1150.0,M004,2127,0.8246500180670855,46,0.0178344620738532,MHG,276,Upper German,4,biten,gebeten,biten,bet,bit,yes,no
ſingen,singen,singen,|s=s|i=i|n=n|g=g|e=e|n=n|,1150.0,M004,636,0.2465808234558845,96,0.0372197469367372,MHG,192,Upper German,1,singen,singen,singen,sing,sing,no,no
leſen,lesen,lësen,|l=l|e=ë|s=s|e=e|n=n|,1150.0,M004,1049,0.4067032764233064,330,0.1279428800950344,MHG,144,Upper German,1,lësen,lesen,lesen,les,les,no,no
buwen,bûwen,bûwen,|b=b|u=û|w=w|e=e|n=n|,1150.0,M004,334,0.1294937028840651,50,0.019385284862884,MHG,299,Upper German,1,bûwen,bûwen,bûwen,buw,buw,no,no
ferlorn,verloren,ver-lièsen,|f=v|e=e|r=r|=-|l=l|o=o|r=r|=e|n=n|,1150.0,M004,1149,0.4454738461490743,6,0.002326234183546,MHG,214,Upper German,4,lièsen,verloren,verliesen,lor,lies,yes,yes
ſtunt,stuont,stân,|s=s|t=t|u=uo|n=n|t=t|,1150.0,M004,2872,1.113490762524057,280,0.1085575952321504,MHG,9,Upper German,2,stân,stuont,stêt,stuon,ste,yes,no
weiſt,weist,wizzen,|w=w|ei=èi|s=s|t=t|,1150.0,M004,2528,0.9801200026674152,70,0.0271393988080376,MHG,364,Upper German,1,wizzen,weist,weiz,wei,weiz,no,no
riwent,riuwent,riuwen,|r=r|i=iu|w=w|e=e|n=n|t=t|,1150.0,M004,223,0.0864583704884626,8,0.0031016455780614,MHG,244,Upper German,1,riuwen,riuwent,riuwen,riuw,riuw,no,no
ſah,sach,sëhen,|s=s|a=a|h=h|,1150.0,M004,4169,1.6163450518672682,210,0.0814181964241128,MHG,22,Upper German,2,sëhen,sach,sehen,saχ,seh,yes,yes
gan,gân,gân/în>+,|g=g|a=â|n=n|,1150.0,M004,72,0.0279148102025529,664,0.2574365829790995,MHG,1,Upper German,1,gân,gân,gên,ga,ge,yes,no
ſluͦch,sluoc,slahen/abe>+,|s=s|l=l|u\o=uo|ch=g|,1150.0,M004,101,0.0391582754230256,24,0.0093049367341843,MHG,7,Upper German,2,slahen,sluoc,slahen,sluoc,slah,yes,yes
gab,gap,gëben,|g=g|a=a|b=b|,1150.0,M004,6812,2.6410512097193166,698,0.2706185766858607,MHG,21,Upper German,2,gëben,gap,geben,gap,be,yes,yes
geriet,geriet,ge-râten,|g=g|e=e|=-|r=r|ie=iè|t=t|,1150.0,M004,136,0.0527279748270444,42,0.0162836392848225,MHG,48,Upper German,2,râten,geriet,râten,ri,rat,yes,no
huben,huoben,hèben/ûf>+,|h=h|u=uo|b=b|e=e|n=n|,1150.0,M004,118,0.0457492722764062,70,0.0271393988080376,MHG,90,Upper German,3,hèben,huoben,hebet,huob,heb,yes,no
trugen,truogen,tragen,|t=t|r=r|u=uo|g=g|e=e|n=n|,1150.0,M004,1651,0.6401021061724298,40,0.0155082278903072,MHG,11,Upper German,3,tragen,truogen,tragen,truog,trag,yes,no
wrfen,wurfen,wërfen,|w=w|=u|r=r|f=f|e=e|n=n|,1150.0,M004,506,0.1961790828123861,17,0.0065909968533805,MHG,16,Upper German,3,wërfen,wurfen,werfen,wurf,werf,yes,no
rechen,rechen,rëchen,|r=r|e=ë|ch=ch|e=e|n=n|,1150.0,M004,376,0.1457773421688877,74,0.0286902215970683,MHG,167,Upper German,1,rëchen,rechen,rechen,reχ,reχ,no,no
geſprechen,gesprechen,ge-sprëchen,|g=g|e=e|=-|s=s|p=p|r=r|e=ë|ch=ch|e=e|n=n|,1150.0,M004,186,0.0721132596899284,47,0.0182221677711109,MHG,27,Upper German,1,sprëchen,gesprechen,sprechen,spreχ,spreχ,no,no
gewnnen,gewunnen,ge-winnen,|g=g|e=e|=-|w=w|=u|nn=nn|e=e|n=n|,1150.0,M004,1883,0.7300498279362115,82,0.0317918671751297,MHG,120,Upper German,3,winnen,gewunen,gewinen,wun,win,yes,no
buwent,bûwent,bûwen,|b=b|u=û|w=w|e=e|n=n|t=t|,1150.0,M004,334,0.1294937028840651,19,0.0073664082478959,MHG,299,Upper German,1,bûwen,bûwent,bûwen,buw,buw,no,no
chivt,quiut,quëden,|ch=qu|iv=iu{ide}|t=t|,1150.0,M004,754,0.2923300957322907,6,0.002326234183546,MHG,314,Upper German,1,quëden,quiut,quiut,quiu,quiu,no,no
hiez,hiez,hèizen,|h=h|ie=iè|z=z|,1150.0,M004,4528,1.7555313971827753,1604,0.6218799384013188,MHG,235,Upper German,2,hèizen,hiez,heizet,hiez,heiz,yes,no
waſchen,waschen,waschen/abe>+,|w=w|a=a|sch=sch|e=e|n=n|,1150.0,M004,6,0.002326234183546,12,0.0046524683670921,MHG,218,Upper German,1,waschen,waschen,waschen,waʃ,waʃ,no,no
uant,vant,vinden,|u=v|a=a|n=n|t=d|,1150.0,M004,1993,0.7726974546345564,173,0.0670730856255786,MHG,38,Upper German,2,vinden,vant,vindet,van,vind,yes,no
geneſen,genesen,ge-nësen,|g=g|e=e|=-|n=n|e=ë|s=s|e=e|n=n|,1150.0,M004,578,0.224093893014939,171,0.0662976742310633,MHG,117,Upper German,1,nësen,genesen,genesen,nes,nes,no,no
tet,tet,tuon,|t=t|e=ë|t=t|,1160.0,M005,8576,3.3249640596818644,942,0.3652187668167346,MHG,14,Central German,2,tuon,tet,tuon,te,tuo,yes,no
beſezzen,besezzen,be-sitzen,|[b]=b|e=e|=-|s=s|[e]=ë|[zz]=zz|[e]=e|[n]=n|,1160.0,M005,467,0.1810585606193366,63,0.0244254589272338,MHG,57,Central German,4,sitzen,besezen,sitzen,sez,siʦ,yes,yes
truͦc,truoc,tragen,*|[tru\oc]=truog|,1160.0,M005,1651,0.6401021061724298,42,0.0162836392848225,MHG,11,Central German,2,tragen,truoc,tragen,truoc,trag,yes,yes
genoz,genôz,ge-nièzen,*|[genoz]=ge-nôz|,1160.0,M005,281,0.1089453009294081,33,0.0127942880095034,MHG,352,Central German,2,nièzen,genôz,geniezen,noz,niez,yes,no
intuienc,entvienc,ent-vâhen,*|[intuienc]=ent-vièng|,1160.0,M005,1799,0.6974825493665664,1,0.0003877056972576,MHG,19,Central German,2,vâhen,entvienc,entvâhen,vienc,vah,yes,yes
quam,quam,komen,*|[quam]=quam|,1160.0,M005,8461,3.280377904497231,931,0.3609540041469001,MHG,3,Central German,2,komen,quam,kumet,quam,kum,yes,yes
baten,bâten,biten,|b=b|a=â|t=t|[e]=e|[n]=n|,1160.0,M005,2127,0.8246500180670855,103,0.039933686817541,MHG,276,Central German,3,biten,bâten,biten,bat,bit,yes,no
tete,tæte,tuon,*|[tete]=tæte|,1160.0,M005,8576,3.3249640596818644,296,0.1147608863882733,MHG,14,Central German,3,tuon,tæte,tuon,tät,tuo,yes,yes
bete,bæte,biten,|b=b|e=æ|t=t|e=e|,1160.0,M005,2127,0.8246500180670855,64,0.0248131646244915,MHG,276,Central German,3,biten,bæte,biten,bät,bit,yes,no
warp,warp,wërben,|[w]=w|[a]=a|[r]=r|p=b|,1160.0,M005,266,0.1031297154705429,22,0.0085295253396689,MHG,100,Central German,2,wërben,warp,werben,warp,werb,yes,no
irbete,erbæte,er-biten,|i=e|r=r|=-|b=b|e=æ|t=t|e=e|,1160.0,M005,47,0.0182221677711109,1,0.0003877056972576,MHG,276,Central German,3,biten,erbæte,biten,bät,bit,yes,no
gab,gap,gëben,|g=g|a=a|b=b|,1160.0,M005,6812,2.6410512097193166,698,0.2706185766858607,MHG,21,Central German,2,gëben,gap,geben,gap,be,yes,yes
gehalf,gehalf,ge-hëlfen,|g=g|e=e|=-|h=h|a=a|l=l|f=f|,1160.0,M005,111,0.0430353323956024,13,0.0050401740643498,MHG,2,Central German,2,hëlfen,gehalf,helfen,half,helf,yes,no
geſchach,geschach,ge-schëhen,|g=g|e=e|=-|sch=sch|a=a|ch=h|,1160.0,M005,2495,0.9673257146579116,425,0.164774921334514,MHG,118,Central German,2,schëhen,geschach,geschiet,ʃaχ,ʃi,yes,no
iach,jach,jëhen,|i=j|a=a|ch=h|,1160.0,M005,636,0.2465808234558845,84,0.0325672785696451,MHG,236,Central German,2,jëhen,jach,jehen,jaχ,jeh,yes,yes
az,az,ëzzen,|a=a|z=zz|,1160.0,M005,643,0.2492947633366883,94,0.0364443355422219,MHG,102,Central German,2,ëzzen,az,ezen,az,ez,yes,no
tranc,tranc,trinken,|t=t|r=r|a=a|n=n|c=k|,1160.0,M005,332,0.1287182914895497,35,0.0135696994040188,MHG,97,Central German,2,trinken,tranc,trinken,tranc,trink,yes,yes
lac,lac,ligen,|l=l|a=a|c=g|,1160.0,M005,2174,0.8428721858381965,336,0.1302691142785805,MHG,238,Central German,2,ligen,lac,liget,lac,lig,yes,yes
uirſcheidan,verscheiden,ver-schèiden,|u=v|i=e|r=r|=-|sch=sch|ei=èi|d=d|a=é|n=n|,1160.0,M005,112,0.0434230380928601,2,0.0007754113945153,MHG,171,Central German,1,schèiden,verscheiden,scheiden,ʃeid,ʃeid,no,no
bequā,bequam,be-komen,|b=b|e=e|=-|qu=qu|a=a|\-=m|,1160.0,M005,138,0.0535033862215598,4,0.0015508227890307,MHG,3,Central German,2,komen,bequam,kumet,quam,kum,yes,yes
ſchein,schein,schînen/ane>.+,|sch=sch|ei=èi|n=n|,1160.0,M005,1,0.0003877056972576,60,0.0232623418354608,MHG,95,Central German,2,schînen,schein,schînen,ʃei,ʃin,yes,no
hube,hüebe,hèben/ûf>+,|h=h|u=üè|b=b|e=e|,1160.0,M005,118,0.0457492722764062,9,0.0034893512753191,MHG,90,Central German,3,hèben,hüebe,heben,hüeb,heb,yes,no
truge,trüege,tragen,|t=t|r=r|u=üè|g=g|e=e|,1160.0,M005,1651,0.6401021061724298,10,0.0038770569725768,MHG,11,Central German,3,tragen,trüege,tragen,trüeg,trag,yes,no
ſprachē,sprâchen,sprëchen,|s=s|p=p|r=r|a=â|ch=ch|e=e|\-=n|,1160.0,M005,11533,4.471409806472824,18,0.0069787025506382,MHG,27,Central German,3,sprëchen,sprâchen,sprechen,spraχ,spreχ,yes,no
gehulfe,gehülfe,ge-hëlfen,|g=g|e=e|=-|h=h|u=ü|l=l|f=f|e=e|,1160.0,M005,111,0.0430353323956024,5,0.0019385284862884,MHG,2,Central German,3,hëlfen,gehülfe,helfen,hülf,helf,yes,no
getet,getæte,ge-tuon,|g=g|e=e|=-|t=t|e=æ|t=t|=e|,1160.0,M005,578,0.224093893014939,66,0.0255885760190068,MHG,14,Central German,3,tuon,getæte,tuon,tät,tuo,yes,yes
uūdē,vunten,vinden,|u=v|u=u|\-=n|d=t|e=e|\-=n|,1160.0,M005,1993,0.7726974546345564,1,0.0003877056972576,MHG,38,Central German,3,vinden,vunten,vinden,vu,vi,yes,no
uunden,vunden,vinden,|u=v|u=u|n=n|d=d|e=e|n=n|,1160.0,M005,1993,0.7726974546345564,42,0.0162836392848225,MHG,38,Central German,4,vinden,vunden,vinden,vu,vi,yes,no
ſprach,sprach,sprëchen,|s=s|[p]=p|r=r|a=a|ch=ch|,1160.0,M005,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Central German,2,sprëchen,sprach,sprechen,spraχ,spreχ,yes,no
beſtan,bestân,be-stân,|b=b|e=e|=-|[s]=s|[t]=t|[a]=â|[n]=n|,1160.0,M005,490,0.1899757916562632,121,0.0469123893681792,MHG,9,Central German,1,stân,bestân,stân,sta,sta,no,no
queme,quæme,komen/wider(e)>+,|qu=qu|[e]=æ|[m]=m|[e]=e|,1160.0,M005,75,0.029077927294326,153,0.059318971680425,MHG,3,Central German,3,komen,quæme,kumet,quäm,kum,yes,yes
tete,tete,tuon,|[t]=t|[e]=ë|[t]=t|e=e|,1160.0,M005,8576,3.3249640596818644,296,0.1147608863882733,MHG,14,Central German,2,tuon,tete,tuon,tet,tuo,yes,yes
tetē,tæten,tuon,|t=t|e=æ|t=t|e=e|\-=n|,1160.0,M005,8576,3.3249640596818644,10,0.0038770569725768,MHG,14,Central German,3,tuon,tæten,tuon,tät,tuo,yes,yes
getun,getuon,ge-tuon,|[g]=g|[e]=e|=-|[t]=t|u=uo|n=n|,1160.0,M005,578,0.224093893014939,33,0.0127942880095034,MHG,14,Central German,1,tuon,getuon,tuon,tuo,tuo,no,no
uirwizzē,verwizzen,ver-wîzen,|u=v|i=e|r=r|=-|w=w|i=i|zz=zz|e=e|\-=n|,1160.0,M005,34,0.0131819937067611,1,0.0003877056972576,MHG,221,Central German,3,wîzen,verwizen,wîzen,wiz,wiz,no,no
hieze,hieze,hèizen,*|[h]=h|[ie]=iè|[z]=z|[e]=e|,1160.0,M005,4528,1.7555313971827753,50,0.019385284862884,MHG,235,Central German,3,hèizen,hieze,heizet,hiez,heiz,yes,no
beren,beren,bër(e)n,*|[beren]=bër(e)n|,1160.0,M005,210,0.0814181964241128,7,0.0027139398808037,MHG,295,Central German,1,bëren,beren,entberen,re,ber,no,yes
geſach,gesach,ge-sëhen,*|[g]=g|[e]=e|=-|[s]=s|[a]=a|[ch]=h|,1160.0,M005,1120,0.4342303809286016,305,0.1182502376635924,MHG,22,Central German,2,sëhen,gesach,sehen,saχ,seh,yes,yes
irliezen,erliezen,er-lâzen,*|[irliezen]=er-lièzen|,1160.0,M005,100,0.038770569725768,1,0.0003877056972576,MHG,4,Central German,3,lâzen,erliezen,lâzen,liez,laz,yes,no
uielē,vielen,vallen,|u=v|ie=iè|l=l|e=e|\-=n|,1160.0,M005,860,0.3334268996416049,5,0.0019385284862884,MHG,31,Central German,3,vallen,vielen,valen,viel,val,yes,no
hiez,hiez,hèizen,*|[hiez]=hièz|,1160.0,M005,4528,1.7555313971827753,1604,0.6218799384013188,MHG,235,Central German,2,hèizen,hiez,heizet,hiez,heiz,yes,no
ſtan,stân,stân/ûf>+,|s=s|t=t|a=â|n=n|,1160.0,M005,229,0.0887846046720087,315,0.1221272946361692,MHG,9,Central German,1,stân,stân,stân,sta,sta,no,no
gan,gân,gân,*|[gan]=gân|,1160.0,M005,3931,1.5240710959199404,664,0.2574365829790995,MHG,1,Central German,1,gân,gân,gân,ga,ga,no,no
ſchiedē,schieden,schèiden,|sch=sch|ie=iè|d=d|e=e|\-=n|,1160.0,M005,766,0.2969825640993829,1,0.0003877056972576,MHG,171,Central German,3,schèiden,schieden,scheiden,ʃied,ʃeid,yes,no
durchgozzē,durchgozzen,durh-gièzen,|d=d|u=u|r=r|ch=h|=-|g=g|o=o|zz=zz|e=e|\-=n|,1160.0,M005,6,0.002326234183546,1,0.0003877056972576,MHG,123,Central German,4,gièzen,durchgozen,giezen,durχgoz,giez,yes,yes
getan,getân,tuon,|g=g|e=e|=-|t=t|a=â|n=n|,1160.0,M005,8576,3.3249640596818644,1415,0.5486035616196173,MHG,14,Central German,4,tuon,getân,tuon,ta,tuo,yes,no
wiſte,wiste,wizzen,|w=w|i=i|s=s|t=t|e=e|,1160.0,M005,2528,0.9801200026674152,127,0.0492386235517253,MHG,364,Central German,2,wizzen,wiste,weiz,wist,weiz,yes,yes
gewūne,gewünne,ge-winnen,|g=g|e=e|=-|w=w|u=ü|\-n=nn|e=e|,1160.0,M005,1883,0.7300498279362115,2,0.0007754113945153,MHG,120,Central German,3,winnen,gewüne,gewinen,wün,win,yes,no
geſchehit,geschihet,ge-schëhen,|g=g|e=e|=-|sch=sch|e=i|h=h|i=e|t=t|,1160.0,M005,2495,0.9673257146579116,1,0.0003877056972576,MHG,118,Central German,1,schëhen,geschihet,geschiet,ʃih,ʃi,no,no
