form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation
ſprícht,ſprícht,sprechen,,1425.0,t13714,8120,30.94476816194937,95,0.362038543766649,ENHG,27,Central German,1,sprechen,sprícht,spricht,spriχ,spriχ,no,no
begreíffen,begreíffen,begreifen,,1425.0,t13755,375,1.4290995148683514,2,0.0076218640792978,ENHG,23,Central German,1,begreifen,begreífen,begreif,begreif,begreif,no,no
begreíffen,begreíffen,begreifen,,1425.0,t13764,375,1.4290995148683514,2,0.0076218640792978,ENHG,23,Central German,1,begreifen,begreífen,begreif,begreif,begreif,no,no
treíben,treíben,treiben,,1425.0,t13766,507,1.932142544102011,3,0.0114327961189468,ENHG,12,Central German,1,treiben,treíben,triben,treib,trib,yes,no
wíſſen·,wíſſen,wissen,,1425.0,t13797,2994,11.409930526708916,49,0.1867356699427979,ENHG,221,Central German,1,wissen,wísen,wisen,wis,wis,no,no
ſpreche·,ſpreche,sprechen,,1425.0,t13834,8120,30.94476816194937,98,0.3734713398855958,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
ſprícht,ſprícht,sprechen,,1425.0,t13894,8120,30.94476816194937,95,0.362038543766649,ENHG,27,Central German,1,sprechen,sprícht,spricht,spriχ,spriχ,no,no
ſpˢcht,ſpˢcht,sprechen,,1425.0,t13906,8120,30.94476816194937,23,0.0876514369119255,ENHG,27,Central German,1,sprechen,spˢcht,spricht,spχt,spriχ,yes,yes
ſpreche,ſpreche,sprechen,,1425.0,t13969,8120,30.94476816194937,98,0.3734713398855958,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
ſpríchſtu,ſpríchſ,sprechen,,1425.0,t13983,8120,30.94476816194937,2,0.0076218640792978,ENHG,27,Central German,1,sprechen,spríchs,spricht,spriχs,spriχ,no,no
