form,norm,lemma,inflClass,infl,date,document_id,token_id,observation_id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,std_infl,extracted_vowel,extracted_coda,anchor_coda_pastpl,anchor_coda_pastsg,anchor_coda_pres,anchor_vowel_pastpl,anchor_vowel_pastsg,anchor_vowel_pres,diff_vowel_pres_pastsg,diff_cons_pres_pastsg,diff_vowel_pres_pastpl,diff_cons_pres_pastpl,diff_vowel_pastsg_pastpl,diff_cons_pastsg_pastpl,is_bipartite,target_vowel_pres,target_coda_pres,target_vowel_past,target_coda_past,target_pres_date,target_pres_n,target_past_date,target_past_n,target_pres_source,target_past_source,is_leveled_vowel_pres,is_leveled_vowel_past,is_leveled_cons_pres,is_leveled_cons_past,vowel_alternation_pres,vowel_alternation_past,cons_alternation_pres,cons_alternation_past
zoh,zôch,zièhen,st2b,Ind.Past.Sg.3,1100.0,MHG:M001,t9_m1,MHG:M001:t9_m1,522,0.202382373968509,34,0.0131819937067611,MHG,17,Central German,2,PastSg,o,χ,g,χ,h,u,o,ie,True,False,True,True,True,True,1.0,ie,h,o,g,1525.0,2.0,1520.0,1.0,nhg,nhg,0,,,0,o ~ ie,o ~ u,,χ ~ g
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1100.0,MHG:M002,t13_m1,MHG:M002:t13_m1,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Central German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1525.0,2.0,1520.0,7.0,nhg,nhg,0,,,,a ~ e,,,
nichte,nîgte,nîgen/nider(e)>+,st1a,*.Past.Sg.3,1150.0,MHG:M004,t50_m1,MHG:M004:t50_m1,3,0.001163117091773,1,0.0003877056972576,MHG,354,Upper German,2,PastSg,i,g,g,c,g,i,ei,i,True,False,False,False,True,False,0.0,,,,,,,,,,,,,,,ei ~ i,ei ~ i,,
geſchach,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t157_m1,MHG:M004:t157_m1,2495,0.9673257146579116,425,0.164774921334514,MHG,119,Upper German,2,PastSg,a,χ,h,χ,h,a,a,e,True,False,True,False,False,False,0.0,e,h,a,h,1534.0,3.0,1542.0,2.0,nhg,nhg,0,,,,a ~ e,,,
lie,lie,lâzen,st7,Ind.Past.Sg.3,1150.0,MHG:M004,t166_m1,MHG:M004:t166_m1,3725,1.4442037222848585,142,0.0550542090105905,MHG,4,Upper German,2,PastSg,ie,,z,z,z,ie,ie,a,True,False,True,False,False,False,0.0,a,s,ie,s,1534.0,25.0,1486.0,1.0,nhg,nhg,0,,,,ie ~ a,,,
geſcahc,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t232_m1,MHG:M004:t232_m1,2495,0.9673257146579116,5,0.0019385284862884,MHG,119,Upper German,2,PastSg,a,χ,h,χ,h,a,a,e,True,False,True,False,False,False,0.0,e,h,a,h,1534.0,3.0,1542.0,2.0,nhg,nhg,0,,,,a ~ e,,,
ſprach,sprach,sprëchen/zuo>+,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t237_m1,MHG:M004:t237_m1,74,0.0286902215970683,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
enphienc,entvienc,ent-vâhen,st7,Ind.Past.Sg.3,1150.0,MHG:M004,t254_m1,MHG:M004:t254_m1,1799,0.6974825493665664,21,0.0081418196424112,MHG,19,Upper German,2,PastSg,ie,nk,ng,nk,h,ie,ie,a,True,True,True,True,False,False,1.0,a,ng,i,ng,1488.0,1.0,1523.0,1.0,nhg,nhg,0,,,,ie ~ a,,nk ~ h,
huͦb,huop,hèben,st6b,Ind.Past.Sg.3,1150.0,MHG:M004,t263_m1,MHG:M004:t263_m1,657,0.2547226430982958,77,0.0298533386888413,MHG,91,Upper German,2,PastSg,uo,p,b,p,b,uo,uo,e,True,False,True,False,False,False,0.0,e,b,o,b,1542.0,1.0,1523.0,1.0,nhg,nhg,0,,,,uo ~ e,,,
fuͦr,vuor,var(e)n,st6,Ind.Past.Sg.3,1150.0,MHG:M004,t268_m1,MHG:M004:t268_m1,2188,0.848300065599804,111,0.0430353323956024,MHG,90,Upper German,2,PastSg,uo,r,r,r,r,uo,uo,a,True,False,True,False,False,False,0.0,a,hr,u,hr,1523.0,2.0,1515.0,2.0,nhg,nhg,0,,,,uo ~ a,,,
gebot,gebôt,ge-bièten,st2b,Ind.Past.Sg.3,1150.0,MHG:M004,t300_m1,MHG:M004:t300_m1,1098,0.4257008555889327,431,0.1671011555180601,MHG,18,Upper German,2,PastSg,o,t,t,t,t,u,o,ie,True,False,True,False,True,False,0.0,ie,t,o,t,1516.0,2.0,1542.0,1.0,nhg,nhg,0,,,,o ~ ie,o ~ u,,
gebot,gebôt,ge-bièten,st2b,Ind.Past.Sg.3,1150.0,MHG:M004,t311_m1,MHG:M004:t311_m1,1098,0.4257008555889327,431,0.1671011555180601,MHG,18,Upper German,2,PastSg,o,t,t,t,t,u,o,ie,True,False,True,False,True,False,0.0,ie,t,o,t,1516.0,2.0,1542.0,1.0,nhg,nhg,0,,,,o ~ ie,o ~ u,,
geſcach,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t334_m1,MHG:M004:t334_m1,2495,0.9673257146579116,66,0.0255885760190068,MHG,119,Upper German,2,PastSg,a,χ,h,χ,h,a,a,e,True,False,True,False,False,False,0.0,e,h,a,h,1534.0,3.0,1542.0,2.0,nhg,nhg,0,,,,a ~ e,,,
geſach,gesach,ge-sëhen,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t344_m1,MHG:M004:t344_m1,1120,0.4342303809286016,305,0.1182502376635924,MHG,22,Upper German,2,PastSg,a,χ,h,χ,h,a,a,e,True,False,True,False,False,False,0.0,e,h,a,h,1534.0,12.0,1523.0,1.0,nhg,nhg,0,,,,a ~ e,,,
genaſ,genas,ge-nësen,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t360_m1,MHG:M004:t360_m1,578,0.224093893014939,48,0.0186098734683686,MHG,118,Upper German,2,PastSg,a,s,r,s,s,a,a,e,True,False,True,True,False,True,1.0,e,s,a,s,1523.0,1.0,1523.0,2.0,nhg,nhg,0,,,,a ~ e,,,s ~ r
uernamen,vernâmen,ver-nëmen,st4,Ind.Past.Pl.3,1150.0,MHG:M004,t372_m1,MHG:M004:t372_m1,1523,0.5904757769234468,62,0.0240377532299761,MHG,49,Upper German,3,PastPl,a,m,m,m,m,a,a,e,True,False,True,False,False,False,0.0,e,hm,a,hm,1542.0,1.0,1523.0,7.0,nhg,nhg,0,,,,a ~ e,,,
chomen,kômen,komen,st4,*.Past.Pl.3,1150.0,MHG:M004,t378_m1,MHG:M004:t378_m1,8461,3.280377904497231,780,0.3024104438609905,MHG,3,Upper German,3,PastPl,o,m,m,m,m,o,o,o,False,False,False,False,False,False,0.0,o,m,a,m,1542.0,3.0,1542.0,1.0,nhg,nhg,,,,,,,,
geſazen,gesâzen,ge-sitzen,st5b,Ind.Past.Pl.3,1150.0,MHG:M004,t410_m1,MHG:M004:t410_m1,144,0.0558296204051059,9,0.0034893512753191,MHG,59,Upper German,3,PastPl,a,z,z,z,ʦ,a,a,i,True,False,True,False,False,False,0.0,i,ʦ,a,s,1542.0,1.0,1534.0,1.0,nhg,nhg,0,,,,a ~ i,,,
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t444_m1,MHG:M004:t444_m1,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
nam,nam,nëmen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t460_m1,MHG:M004:t460_m1,4030,1.5624539599484506,1167,0.4524525486997126,MHG,49,Upper German,2,PastSg,a,m,m,m,m,a,a,e,True,False,True,False,False,False,0.0,e,hm,a,hm,1542.0,1.0,1523.0,7.0,nhg,nhg,0,,,,a ~ e,,,
bat,bat,biten,st5b,Ind.Past.Sg.3,1150.0,MHG:M004,t504_m1,MHG:M004:t504_m1,2127,0.8246500180670855,658,0.2551103487955535,MHG,276,Upper German,2,PastSg,a,t,t,t,t,a,a,i,True,False,True,False,False,False,0.0,,,,,,,,,,,,,,,a ~ i,,,
ſcreib,schreip,schrîben,st1a,Ind.Past.Sg.3,1150.0,MHG:M004,t514_m1,MHG:M004:t514_m1,1626,0.6304094637409878,23,0.0089172310369266,MHG,26,Upper German,2,PastSg,ei,p,b,p,b,i,ei,i,True,False,False,False,True,False,0.0,ei,b,ie,b,1542.0,3.0,1490.0,1.0,nhg,nhg,,0,,,ei ~ i,ei ~ i,,
uoleſcreib,volleschreip,voll-schrîben,st1a,Ind.Past.Sg.3,1150.0,MHG:M004,t534_m1,MHG:M004:t534_m1,6,0.002326234183546,1,0.0003877056972576,MHG,26,Upper German,2,PastSg,o,l,b,p,b,i,ei,i,True,False,False,False,True,False,0.0,ei,b,ie,b,1542.0,3.0,1490.0,1.0,nhg,nhg,,,,,ei ~ i,ei ~ i,,
ſweich,sweic,swîgen,st1a,Ind.Past.Sg.3,1150.0,MHG:M004,t540_m1,MHG:M004:t540_m1,178,0.069011614111867,7,0.0027139398808037,MHG,183,Upper German,2,PastSg,ei,c,g,c,g,i,ei,i,True,False,False,False,True,False,0.0,ei,g,ie,g,1480.0,1.0,1445.0,1.0,nhg,nhg,,0,,,ei ~ i,ei ~ i,,
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t543_m1,MHG:M004:t543_m1,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t572_m1,MHG:M004:t572_m1,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
huob,huop,hèben/ûf>+,st6b,Ind.Past.Sg.3,1150.0,MHG:M004,t648_m1,MHG:M004:t648_m1,118,0.0457492722764062,11,0.0042647626698344,MHG,91,Upper German,2,PastSg,uo,p,b,p,b,uo,uo,e,True,False,True,False,False,False,0.0,e,b,o,b,1542.0,1.0,1523.0,1.0,nhg,nhg,0,,,,uo ~ e,,,
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t660_m1,MHG:M004:t660_m1,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
enphie,entvieng,ent-vâhen,st7,Ind.Past.Sg.3,1150.0,MHG:M004,t759_m1,MHG:M004:t759_m1,1799,0.6974825493665664,79,0.0306287500833567,MHG,19,Upper German,2,PastSg,ie,ng,ng,nk,h,ie,ie,a,True,True,True,True,False,False,1.0,a,ng,i,ng,1488.0,1.0,1523.0,1.0,nhg,nhg,0,,,,ie ~ a,,nk ~ h,
zoh,zôch,zièhen,st2b,Ind.Past.Sg.3,1150.0,MHG:M004,t785_m1,MHG:M004:t785_m1,522,0.202382373968509,34,0.0131819937067611,MHG,17,Upper German,2,PastSg,o,χ,g,χ,h,u,o,ie,True,False,True,True,True,True,1.0,ie,h,o,g,1523.0,3.0,1534.0,2.0,nhg,nhg,0,,,0,o ~ ie,o ~ u,,χ ~ g
gewhſ,gewuohs,ge-wahsen,st6,Ind.Past.Sg.3,1150.0,MHG:M004,t868_m1,MHG:M004:t868_m1,33,0.0127942880095034,1,0.0003877056972576,MHG,100,Upper German,2,PastSg,uo,hs,hs,hs,hs,uo,uo,e,True,False,True,False,False,False,0.0,a,χs,u,χs,1523.0,3.0,1475.0,1.0,nhg,nhg,0,,,,uo ~ e,,,
trug,truoc,tragen,st6,Ind.Past.Sg.3,1150.0,MHG:M004,t894_m1,MHG:M004:t894_m1,1651,0.6401021061724298,24,0.0093049367341843,MHG,11,Upper German,2,PastSg,uo,c,g,c,g,ue,uo,a,True,False,True,False,True,False,0.0,a,g,u,g,1542.0,3.0,1510.0,1.0,nhg,nhg,0,,,,uo ~ a,uo ~ ue,,
truͦge,trüege,tragen,st6,Subj.Past.Sg.3,1150.0,MHG:M004,t902_m1,MHG:M004:t902_m1,1651,0.6401021061724298,14,0.0054278797616075,MHG,11,Upper German,3,PastPl,ue,g,g,c,g,ue,uo,a,True,False,True,False,True,False,0.0,a,g,u,g,1542.0,3.0,1510.0,1.0,nhg,nhg,0,0,,,ue ~ a,ue ~ uo,,
huͦb,huop,hèben/ûf>+,st6b,Ind.Past.Sg.3,1150.0,MHG:M004,t977_m1,MHG:M004:t977_m1,118,0.0457492722764062,77,0.0298533386888413,MHG,91,Upper German,2,PastSg,uo,p,b,p,b,uo,uo,e,True,False,True,False,False,False,0.0,e,b,o,b,1542.0,1.0,1523.0,1.0,nhg,nhg,0,,,,uo ~ e,,,
ſprah,sprach,sprëchen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t988_m1,MHG:M004:t988_m1,11533,4.471409806472824,719,0.278760396328272,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
ſah,sach,sëhen,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t1042_m1,MHG:M004:t1042_m1,4169,1.6163450518672682,210,0.0814181964241128,MHG,22,Upper German,2,PastSg,a,χ,h,χ,h,a,a,e,True,False,True,False,False,False,0.0,e,h,a,h,1534.0,12.0,1523.0,1.0,nhg,nhg,0,,,,a ~ e,,,
ſluͦch,sluoc,slahen/abe>+,st6,Ind.Past.Sg.3,1150.0,MHG:M004,t1072_m1,MHG:M004:t1072_m1,101,0.0391582754230256,24,0.0093049367341843,MHG,7,Upper German,2,PastSg,uo,c,g,c,h,uo,uo,a,True,True,True,True,False,False,1.0,a,g,u,g,1542.0,3.0,1490.0,9.0,nhg,nhg,0,,,,uo ~ a,,c ~ h,
truͦch,truoc,tragen,st6,Ind.Past.Sg.3,1150.0,MHG:M004,t1078_m1,MHG:M004:t1078_m1,1651,0.6401021061724298,24,0.0093049367341843,MHG,11,Upper German,2,PastSg,uo,c,g,c,g,ue,uo,a,True,False,True,False,True,False,0.0,a,g,u,g,1542.0,3.0,1510.0,1.0,nhg,nhg,0,,,,uo ~ a,uo ~ ue,,
gab,gap,gëben,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t1081_m1,MHG:M004:t1081_m1,6812,2.6410512097193166,698,0.2706185766858607,MHG,21,Upper German,2,PastSg,a,p,b,p,b,a,a,e,True,False,True,False,False,False,0.0,e,b,a,b,1542.0,8.0,1523.0,9.0,nhg,nhg,0,,,,a ~ e,,,
geriet,geriet,ge-râten,st7,Ind.Past.Sg.3,1150.0,MHG:M004,t1090_m1,MHG:M004:t1090_m1,136,0.0527279748270444,42,0.0162836392848225,MHG,50,Upper German,2,PastSg,ie,t,t,t,t,ie,ie,a,True,False,True,False,False,False,0.0,a,t,ie,t,1523.0,3.0,1523.0,2.0,nhg,nhg,0,,,,ie ~ a,,,
huben,huoben,hèben/ûf>+,st6b,*.Past.Pl.3,1150.0,MHG:M004,t1098_m1,MHG:M004:t1098_m1,118,0.0457492722764062,70,0.0271393988080376,MHG,91,Upper German,3,PastPl,uo,b,b,p,b,uo,uo,e,True,False,True,False,False,False,0.0,e,b,o,b,1542.0,1.0,1523.0,1.0,nhg,nhg,0,,,,uo ~ e,,,
trugen,truogen,tragen,st6,*.Past.Pl.3,1150.0,MHG:M004,t1102_m1,MHG:M004:t1102_m1,1651,0.6401021061724298,40,0.0155082278903072,MHG,11,Upper German,3,PastPl,uo,g,g,c,g,ue,uo,a,True,False,True,False,True,False,0.0,a,g,u,g,1542.0,3.0,1510.0,1.0,nhg,nhg,,1,,,ue ~ a,ue ~ uo,,
wrfen,wurfen,wërfen,st3b,*.Past.Pl.3,1150.0,MHG:M004,t1104_m1,MHG:M004:t1104_m1,506,0.1961790828123861,17,0.0065909968533805,MHG,16,Upper German,3,PastPl,u,rf,rf,rf,rf,u,a,e,True,False,True,False,True,False,0.0,e,rf,a,rf,1523.0,1.0,1490.0,1.0,nhg,nhg,0,0,,,u ~ e,u ~ a,,
gewnnen,gewunnen,ge-winnen,st3a,*.Past.Pl.3,1150.0,MHG:M004,t1134_m1,MHG:M004:t1134_m1,1883,0.7300498279362115,82,0.0317918671751297,MHG,121,Upper German,3,PastPl,u,n,n,n,n,u,a,i,True,False,True,False,True,False,0.0,i,n,a,n,1523.0,1.0,1492.0,1.0,nhg,nhg,0,0,,,u ~ i,u ~ a,,
uernamen,vernâmen,ver-nëmen,st4,Ind.Past.Pl.3,1150.0,MHG:M004,t1174_m1,MHG:M004:t1174_m1,1523,0.5904757769234468,62,0.0240377532299761,MHG,49,Upper German,3,PastPl,a,m,m,m,m,a,a,e,True,False,True,False,False,False,0.0,e,hm,a,hm,1542.0,1.0,1523.0,7.0,nhg,nhg,0,,,,a ~ e,,,
chomen,kômen,komen,st4,*.Past.Pl.3,1150.0,MHG:M004,t1180_m1,MHG:M004:t1180_m1,8461,3.280377904497231,780,0.3024104438609905,MHG,3,Upper German,3,PastPl,o,m,m,m,m,o,o,o,False,False,False,False,False,False,0.0,o,m,a,m,1542.0,3.0,1542.0,1.0,nhg,nhg,,,,,,,,
huͦben,huoben,hèben/ûf>+,st6b,*.Past.Pl.3,1150.0,MHG:M004,t1186_m1,MHG:M004:t1186_m1,118,0.0457492722764062,50,0.019385284862884,MHG,91,Upper German,3,PastPl,uo,b,b,p,b,uo,uo,e,True,False,True,False,False,False,0.0,e,b,o,b,1542.0,1.0,1523.0,1.0,nhg,nhg,0,,,,uo ~ e,,,
trugen,truogen,tragen,st6,*.Past.Pl.3,1150.0,MHG:M004,t1191_m1,MHG:M004:t1191_m1,1651,0.6401021061724298,40,0.0155082278903072,MHG,11,Upper German,3,PastPl,uo,g,g,c,g,ue,uo,a,True,False,True,False,True,False,0.0,a,g,u,g,1542.0,3.0,1510.0,1.0,nhg,nhg,,1,,,ue ~ a,ue ~ uo,,
gab,gap,gëben,st5,Ind.Past.Sg.3,1150.0,MHG:M004,t1299_m1,MHG:M004:t1299_m1,6812,2.6410512097193166,698,0.2706185766858607,MHG,21,Upper German,2,PastSg,a,p,b,p,b,a,a,e,True,False,True,False,False,False,0.0,e,b,a,b,1542.0,8.0,1523.0,9.0,nhg,nhg,0,,,,a ~ e,,,
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t1305_m1,MHG:M004:t1305_m1,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
hiez,hiez,hèizen,st7,Ind.Past.Sg.3,1150.0,MHG:M004,t1308_m1,MHG:M004:t1308_m1,4528,1.7555313971827753,1604,0.6218799384013188,MHG,237,Upper German,2,PastSg,ie,z,z,z,z,ie,ie,ei,True,False,True,False,False,False,0.0,ei,z,ei,z,,0.0,,0.0,nhg,nhg,0,,,,ie ~ ei,,,
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1150.0,MHG:M004,t1324_m1,MHG:M004:t1324_m1,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,a,a,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
uant,vant,vinden,st3a,Ind.Past.Sg.3,1150.0,MHG:M004,t1374_m1,MHG:M004:t1374_m1,1993,0.7726974546345564,173,0.0670730856255786,MHG,39,Upper German,2,PastSg,a,n,n,n,n,u,a,i,True,False,True,False,True,False,0.0,i,n,a,n,1542.0,3.0,1542.0,7.0,nhg,nhg,0,,,,a ~ i,a ~ u,,
hiez,hiez,hèizen,st7,Ind.Past.Sg.3,1150.0,MHG:M004,t1392_m1,MHG:M004:t1392_m1,4528,1.7555313971827753,1604,0.6218799384013188,MHG,237,Upper German,2,PastSg,ie,z,z,z,z,ie,ie,ei,True,False,True,False,False,False,0.0,ei,z,ei,z,,0.0,,0.0,nhg,nhg,0,,,,ie ~ ei,,,
truͦc,truoc,tragen,st6,Ind.Past.Sg.3,1160.0,MHG:M005,t41_m1,MHG:M005:t41_m1,1651,0.6401021061724298,42,0.0162836392848225,MHG,11,Central German,2,PastSg,uo,c,g,c,g,uo,uo,a,True,False,True,False,False,False,0.0,a,g,u,g,1525.0,1.0,1450.0,1.0,nhg,nhg,0,,,,uo ~ a,,,
genoz,genôz,ge-nièzen,st2b,Ind.Past.Sg.3,1160.0,MHG:M005,t76_m1,MHG:M005:t76_m1,281,0.1089453009294081,33,0.0127942880095034,MHG,352,Central German,2,PastSg,o,z,z,z,z,u,o,ie,True,False,True,False,True,False,0.0,,,,,,,,,,,,,,,o ~ ie,o ~ u,,
intuienc,entvienc,ent-vâhen,st7,Ind.Past.Sg.3,1160.0,MHG:M005,t91_m1,MHG:M005:t91_m1,1799,0.6974825493665664,1,0.0003877056972576,MHG,19,Central German,2,PastSg,ie,nk,ng,nk,h,ie,ie,a,True,True,True,True,False,False,1.0,a,ng,i,ng,1525.0,2.0,1510.0,1.0,nhg,nhg,0,,,,ie ~ a,,nk ~ h,
quam,quam,komen,st4,Ind.Past.Sg.3,1160.0,MHG:M005,t100_m1,MHG:M005:t100_m1,8461,3.280377904497231,931,0.3609540041469001,MHG,3,Central German,2,PastSg,a,m,m,m,m,a,a,u,True,False,True,False,False,False,0.0,o,m,a,m,1525.0,2.0,1520.0,2.0,nhg,nhg,0,,,,a ~ u,,,
baten,bâten,biten,st5b,Ind.Past.Pl.3,1160.0,MHG:M005,t114_m1,MHG:M005:t114_m1,2127,0.8246500180670855,103,0.039933686817541,MHG,276,Central German,3,PastPl,a,t,t,t,t,a,a,i,True,False,True,False,False,False,0.0,,,,,,,,,,,,,,,a ~ i,,,
bete,bæte,biten,st5b,Subj.Past.Sg.3,1160.0,MHG:M005,t126_m1,MHG:M005:t126_m1,2127,0.8246500180670855,64,0.0248131646244915,MHG,276,Central German,3,PastPl,a,t,t,t,t,a,a,i,True,False,True,False,False,False,0.0,,,,,,,,,,,,,,,a ~ i,,,
warp,warp,wërben,st3b,Ind.Past.Sg.3,1160.0,MHG:M005,t147_m1,MHG:M005:t147_m1,266,0.1031297154705429,22,0.0085295253396689,MHG,101,Central German,2,PastSg,a,rp,rb,rp,rb,u,a,e,True,False,True,False,True,False,0.0,e,rb,a,rb,1520.0,3.0,1425.0,1.0,nhg,nhg,0,,,,a ~ e,a ~ u,,
irbete,erbæte,er-biten,st5b,Subj.Past.Sg.3,1160.0,MHG:M005,t153_m1,MHG:M005:t153_m1,47,0.0182221677711109,1,0.0003877056972576,MHG,276,Central German,3,PastPl,a,t,t,t,t,a,a,i,True,False,True,False,False,False,0.0,,,,,,,,,,,,,,,a ~ i,,,
gab,gap,gëben,st5,Ind.Past.Sg.3,1160.0,MHG:M005,t180_m1,MHG:M005:t180_m1,6812,2.6410512097193166,698,0.2706185766858607,MHG,21,Central German,2,PastSg,a,p,b,p,b,a,a,e,True,False,True,False,False,False,0.0,e,b,a,b,1525.0,9.0,1514.0,1.0,nhg,nhg,0,,,,a ~ e,,,
gehalf,gehalf,ge-hëlfen,st3b,Ind.Past.Sg.3,1160.0,MHG:M005,t225_m1,MHG:M005:t225_m1,111,0.0430353323956024,13,0.0050401740643498,MHG,2,Central German,2,PastSg,a,lf,lf,lf,lf,u,a,e,True,False,True,False,True,False,0.0,e,lf,a,lf,1525.0,1.0,1450.0,1.0,nhg,nhg,0,,,,a ~ e,a ~ u,,
geſchach,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1160.0,MHG:M005,t233_m1,MHG:M005:t233_m1,2495,0.9673257146579116,425,0.164774921334514,MHG,119,Central German,2,PastSg,a,χ,h,χ,,a,a,ie,True,False,True,False,False,False,0.0,e,h,a,h,1525.0,13.0,1514.0,1.0,nhg,nhg,0,,,,a ~ ie,,,
iach,jach,jëhen,st5,Ind.Past.Sg.3,1160.0,MHG:M005,t238_m1,MHG:M005:t238_m1,636,0.2465808234558845,84,0.0325672785696451,MHG,238,Central German,2,PastSg,a,χ,h,χ,h,a,a,e,True,False,True,False,False,False,0.0,,,,,,,,,,,,,,,a ~ e,,,
az,az,ëzzen,st5,Ind.Past.Sg.3,1160.0,MHG:M005,t301_m1,MHG:M005:t301_m1,643,0.2492947633366883,94,0.0364443355422219,MHG,103,Central German,2,PastSg,a,z,z,z,z,a,a,e,True,False,True,False,False,False,0.0,e,s,a,s,1514.0,1.0,1509.0,1.0,nhg,nhg,0,,,,a ~ e,,,
tranc,tranc,trinken,st3a,Ind.Past.Sg.3,1160.0,MHG:M005,t304_m1,MHG:M005:t304_m1,332,0.1287182914895497,35,0.0135696994040188,MHG,98,Central German,2,PastSg,a,nk,nk,nk,nk,u,a,i,True,False,True,False,True,False,0.0,i,nk,a,nk,1510.0,5.0,1496.0,3.0,nhg,nhg,0,,,,a ~ i,a ~ u,,
lac,lac,ligen,st5b,Ind.Past.Sg.3,1160.0,MHG:M005,t309_m1,MHG:M005:t309_m1,2174,0.8428721858381965,336,0.1302691142785805,MHG,25,Central German,2,PastSg,a,c,g,c,g,a,a,i,True,False,True,False,False,False,0.0,ie,g,a,g,1520.0,2.0,1498.0,1.0,nhg,nhg,0,,,,a ~ i,,,
bequā,bequam,be-komen,st4,Ind.Past.Sg.3,1160.0,MHG:M005,t365_m1,MHG:M005:t365_m1,138,0.0535033862215598,4,0.0015508227890307,MHG,3,Central German,2,PastSg,a,m,m,m,m,a,a,u,True,False,True,False,False,False,0.0,o,m,a,m,1525.0,2.0,1520.0,2.0,nhg,nhg,0,,,,a ~ u,,,
ſchein,schein,schînen/ane>.+,st1a,Ind.Past.Sg.3,1160.0,MHG:M005,t370_m2,MHG:M005:t370_m2,1,0.0003877056972576,60,0.0232623418354608,MHG,96,Central German,2,PastSg,ei,n,,n,,i,ei,i,True,False,False,False,True,False,0.0,ei,,ie,n,1498.0,4.0,,0.0,nhg,nhg,,0,,,ei ~ i,ei ~ i,,
hube,hüebe,hèben/ûf>+,st6b,Subj.Past.Sg.3,1160.0,MHG:M005,t383_m1,MHG:M005:t383_m1,118,0.0457492722764062,9,0.0034893512753191,MHG,91,Central German,3,PastPl,ue,b,b,p,b,uo,uo,e,True,False,True,False,False,False,0.0,e,b,o,b,1520.0,1.0,1509.0,1.0,nhg,nhg,,,,,uo ~ e,,,
truge,trüege,tragen,st6,Subj.Past.Sg.3,1160.0,MHG:M005,t389_m1,MHG:M005:t389_m1,1651,0.6401021061724298,10,0.0038770569725768,MHG,11,Central German,3,PastPl,ue,g,g,c,g,uo,uo,a,True,False,True,False,False,False,0.0,a,g,u,g,1525.0,1.0,1450.0,1.0,nhg,nhg,,,,,uo ~ a,,,
