form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation,modern_lemma_count
gieng,gienc,gân,|g=g|ie=iè|n=n|g=g|,1100.0,M001,3931,1.5240710959199404,71,0.0275271045052952,MHG,1,Central German,2,gân,gienc,gân,gienc,ga,yes,yes,1624058
geſ,gês,gân,|g=g|e=ê|s=s|,1100.0,M001,3931,1.5240710959199404,5,0.0019385284862884,MHG,1,Central German,1,gân,gês,gân,ges,ga,yes,no,1624058
rideſ,rîtes,rîten,|r=r|i=î|d=t|e=e|s=s|,1100.0,M001,994,0.3853794630741339,1,0.0003877056972576,MHG,162,Central German,1,rîten,rîtes,rîten,rit,rit,no,no,15954
riten,rîten,rîten,|r=r|i=î|t=t|e=e|n=n|,1100.0,M001,994,0.3853794630741339,231,0.0895600160665241,MHG,162,Central German,1,rîten,rîten,rîten,rit,rit,no,no,15954
giengon,giengen,gân,|g=g|ie=iè|n=n|g=g|o=é|n=n|,1100.0,M002,3931,1.5240710959199404,1,0.0003877056972576,MHG,1,Central German,3,gân,giengen,gân,gieng,ga,yes,yes,1624058
ſprach,sprach,sprëchen,|s=s|p=p|r=r|a=a|ch=ch|,1100.0,M002,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Central German,2,sprëchen,sprach,sprechen,spraχ,spreχ,yes,no,559127
gegan,gegân,ge-gân,|g=g|e=e|=-|g=g|a=â|n=n|,1100.0,M002,24,0.0093049367341843,48,0.0186098734683686,MHG,1,Central German,1,gân,gegân,gân,ga,ga,no,no,1624058
ſtuont,stuont,stân,|s=s|t=t|uo=uo|n=n|t=t|,1100.0,M002,2872,1.113490762524057,12,0.0046524683670921,MHG,9,Central German,2,stân,stuont,stân,stuon,sta,yes,no,1656734
ſprecheſt,sprechest,sprëchen,|s=s|p=p|r=r|e=ë|ch=ch|e=e|s=s|t=t|,1150.0,M004,11533,4.471409806472824,3,0.001163117091773,MHG,27,Upper German,1,sprëchen,sprechest,sprechen,spreχ,spreχ,no,no,559127
geſchehen,geschehen,ge-schëhen,|g=g|e=e|=-|sch=sch|e=ë|h=h|e=e|n=n|,1150.0,M004,2495,0.9673257146579116,222,0.0860706647912049,MHG,118,Upper German,1,schëhen,geschehen,geschihet,ʃeh,ʃih,yes,no,323529
giengen,giengen,gân,|g=g|ie=iè|n=n|g=g|e=e|n=n|,1150.0,M004,3931,1.5240710959199404,180,0.0697870255063824,MHG,1,Upper German,3,gân,giengen,gên,gieng,ge,yes,yes,1624058
geſehen,gesehen,sëhen,|g=g|e=e|=-|s=s|e=ë|h=h|[e]=e|[n]=n|,1150.0,M004,4169,1.6163450518672682,322,0.1248412345169729,MHG,22,Upper German,4,sëhen,gesehen,sehen,seh,seh,no,no,2454558
