form,norm,lemma,inflClass,infl,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part
geborn,geboren,ge-bër(e)n,st4,past_participle,1150.0,M004,947,0.367157295303023,544,0.2109118993081779,MHG,295,Upper German,4
lie,lie,lâzen,st7,Ind.Past.Sg.3,1150.0,M004,3725,1.4442037222848585,142,0.0550542090105905,MHG,4,Upper German,2
gewinnen,gewinnen,ge-winnen,st3a,infinitive,1150.0,M004,1883,0.7300498279362115,238,0.0922739559473278,MHG,120,Upper German,1
geſcahc,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1150.0,M004,2495,0.9673257146579116,5,0.0019385284862884,MHG,118,Upper German,2
ſprach,sprach,sprëchen/zuo>+,st4,Ind.Past.Sg.3,1150.0,M004,74,0.0286902215970683,3979,1.542680969388309,MHG,27,Upper German,2
enphienc,entvienc,ent-vâhen,st7,Ind.Past.Sg.3,1150.0,M004,1799,0.6974825493665664,21,0.0081418196424112,MHG,19,Upper German,2
giench,gienc,gân,irr,Ind.Past.Sg.3,1150.0,M004,3931,1.5240710959199404,48,0.0186098734683686,MHG,1,Upper German,2
huͦb,huop,hèben,st6b,Ind.Past.Sg.3,1150.0,M004,657,0.2547226430982958,77,0.0298533386888413,MHG,90,Upper German,2
fuͦr,vuor,var(e)n,st6,Ind.Past.Sg.3,1150.0,M004,2188,0.848300065599804,111,0.0430353323956024,MHG,89,Upper German,2
geſcriben,geschriben,schrîben,st1a,past_participle,1150.0,M004,1626,0.6304094637409878,202,0.0783165508460513,MHG,26,Upper German,4
