form_id,time,time_since_prev,obs_v,obs_c,lemma_id,principal_part_id,dialect_group
fliehen_1,1490,0.0,1,1,3,1,Upper German
fliehen_1,1498,8.0,1,1,3,1,Upper German
fliehen_1,1499,1.0,1,1,3,1,Central German
fliehen_1,1525,26.0,1,1,3,1,Central German
fliehen_1,1525,0.0,1,1,3,1,Central German
fliehen_1,1525,0.0,1,1,3,1,Central German
fliehen_1,1556,31.0,1,1,3,1,Central German
fliehen_1,1557,1.0,1,1,3,1,Upper German
fliehen_1,1557,0.0,1,1,3,1,Upper German
fliehen_1,1578,21.0,1,1,3,1,Upper German
fliehen_1,1599,21.0,1,1,3,1,Central German
fliehen_1,1650,51.0,1,1,3,1,Upper German
fliehen_1,1653,3.0,1,1,3,1,Central German
fliehen_2,1378,0.0,1,0,3,2,Central German
fliehen_2,1400,22.0,1,1,3,2,Upper German
fliehen_2,1400,0.0,1,1,3,2,Upper German
fliehen_2,1475,75.0,1,1,3,2,Central German
fliehen_2,1498,23.0,1,1,3,2,Upper German
fliehen_2,1499,1.0,1,1,3,2,Central German
fliehen_2,1599,100.0,1,1,3,2,Central German
fliehen_2,1668,69.0,1,1,3,2,Upper German
fliehen_3,1325,0.0,0,1,3,3,Low German
fliehen_3,1325,0.0,0,0,3,3,Upper German
fliehen_3,1325,0.0,1,1,3,3,Upper German
fliehen_3,1350,25.0,1,0,3,3,Upper German
fliehen_3,1350,0.0,1,1,3,3,Upper German
fliehen_3,1350,0.0,0,0,3,3,Upper German
fliehen_3,1350,0.0,1,1,3,3,Upper German
fliehen_3,1375,25.0,1,0,3,3,Upper German
fliehen_3,1375,0.0,1,1,3,3,Upper German
fliehen_3,1375,0.0,1,0,3,3,Upper German
fliehen_3,1378,3.0,1,0,3,3,Central German
fliehen_3,1392,14.0,1,0,3,3,Upper German
fliehen_3,1396,4.0,1,0,3,3,Central German
fliehen_3,1400,4.0,1,0,3,3,Upper German
fliehen_3,1400,0.0,1,0,3,3,Upper German
fliehen_3,1450,50.0,1,0,3,3,Upper German
fliehen_3,1450,0.0,1,1,3,3,Upper German
fliehen_3,1450,0.0,1,0,3,3,Upper German
fliehen_3,1463,13.0,1,0,3,3,Upper German
fliehen_3,1475,12.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,0,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,0,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,0,1,3,3,Central German
fliehen_3,1475,0.0,1,1,3,3,Central German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,1,3,3,Upper German
fliehen_3,1475,0.0,1,0,3,3,Upper German
fliehen_3,1475,0.0,0,0,3,3,Upper German
fliehen_3,1525,50.0,0,0,3,3,Upper German
fliehen_3,1525,0.0,1,1,3,3,Upper German
fliehen_3,1525,0.0,1,0,3,3,Upper German
fliehen_3,1525,0.0,1,1,3,3,Central German
fliehen_3,1550,25.0,1,0,3,3,Upper German
fliehen_3,1550,0.0,1,1,3,3,Upper German
fliehen_3,1557,7.0,0,1,3,3,Upper German
fliehen_3,1557,0.0,0,0,3,3,Upper German
fliehen_3,1599,42.0,0,0,3,3,Central German
fliehen_3,1660,61.0,0,0,3,3,Upper German
fliehen_4,1325,0.0,1,0,3,4,Upper German
fliehen_4,1350,25.0,1,0,3,4,Upper German
fliehen_4,1450,100.0,1,0,3,4,Upper German
fliehen_4,1475,25.0,1,0,3,4,Upper German
