lemma_id,lemma,observations,leveled,share_of_events_pct
17,ziehen,141,3,25.0
94,lîden,59,3,25.0
144,lîhen,10,3,25.0
8,snîden,24,2,16.666666666666668
218,zîhen,16,1,8.333333333333334
19,vâhen,206,0,0.0
7,slahen,94,0,0.0
215,verlieren,82,0,0.0
133,hâhen,60,0,0.0
329,kièsen,54,0,0.0
118,genesen,47,0,0.0
148,mîden,10,0,0.0
