"Model","term","Estimate","Est.Error","Q2.5","Q97.5"
"Tensor (k=10)","sdate:varietyCentralGerman_1",0.414864581788629,0.973993266875678,-1.45142705,2.3001110125
"Tensor (k=10)","sdate:varietyUpperGerman_1",-0.405618459694225,0.980755670945025,-2.3013234775,1.5061978
"Tensor (k=4)","Intercept",-1.46867506189378,1.34183599121389,-3.830932335,1.6584611275
"Tensor (k=4)","marking_typevowel_bipartite",-0.212240992607879,0.590823729010169,-1.347704215,0.928829086749999
"Tensor (k=4)","log_freq",-0.0935501752135826,0.512815816407087,-1.1023645825,0.904684664749999
"Tensor (k=4)","has_alt_presno",-1.3093834861629,0.665702571090459,-2.6494906725,-0.0339594203250004
"Tensor (k=4)","log_alt_pres_freq",-0.301013605320882,0.15555802959295,-0.6097540065,0.00670366458749995
"Tensor (k=4)","has_alt_pastno",-2.27805312261875,0.520351932601958,-3.3019554925,-1.2929904475
"Tensor (k=4)","log_alt_past_freq",-0.394202322942467,0.181007388081819,-0.7489736495,-0.0415176149750001
"Tensor (k=4)","std_inflPastSg",-0.86061438744125,0.1945330713729,-1.247681555,-0.47484345975
"Tensor (k=4)","marking_typevowel_bipartite:std_inflPastSg",-0.046414514931987,0.593997034678509,-1.20891324,1.112127445
"Tensor (k=4)","sdate_1",0.010639838331187,0.990174192269847,-1.90981937,1.9597438125
"Tensor (k=4)","sdate:marking_typevowel_unipartite_1",-0.378674455841763,0.961226657206143,-2.2635468375,1.4864972225
"Tensor (k=4)","sdate:marking_typevowel_bipartite_1",0.376490129082445,0.953521500580293,-1.50249331,2.2499331275
"Tensor (k=4)","t2datelog_freq_1",-0.0609602418929955,0.859469314850752,-1.7391810425,1.63939667
"Tensor (k=4)","t2datelog_freq_2",0.084428800726759,0.554665019235696,-1.1032485775,1.0295399475
"Tensor (k=4)","t2datelog_freq_3",-0.162413958653465,0.134954339750701,-0.4280179525,0.10621388625
"Tensor (k=4)","sdate:std_inflPastPl_1",0.543074551771039,0.976283331460909,-1.399889495,2.4248800225
"Tensor (k=4)","sdate:std_inflPastSg_1",-0.520294803616485,0.979279656742099,-2.38347797,1.4295537925
"Tensor (k=4)","sdate:varietyCentralGerman_1",0.616104679966246,0.96725537089448,-1.2892878625,2.50029521
"Tensor (k=4)","sdate:varietyUpperGerman_1",-0.585312002162719,0.976154904712585,-2.463520945,1.3805341025
"Tensor (k=10) Token","Intercept",-1.63713428778347,2.74727072162315,-6.8859539,3.98764229
"Tensor (k=10) Token","marking_typevowel_bipartite",-0.185887656491084,0.596036300060256,-1.353328615,0.98967540075
"Tensor (k=10) Token","log_token_freq",-0.0464363856690482,0.61394098457944,-1.248134575,1.19736626
"Tensor (k=10) Token","has_alt_presno",-1.22443413477816,0.666883654801914,-2.5524531225,0.0719047584249996
"Tensor (k=10) Token","log_alt_pres_freq",-0.294479812412041,0.159664314802107,-0.60728649325,0.0173255907499998
"Tensor (k=10) Token","has_alt_pastno",-2.244314636695,0.547061550207619,-3.3383073675,-1.1847520625
"Tensor (k=10) Token","log_alt_past_freq",-0.384193563226596,0.187463880313402,-0.74755095525,-0.00853753299750017
"Tensor (k=10) Token","std_inflPastSg",-0.796069858914862,0.248691930971616,-1.2781799025,-0.297838554
"Tensor (k=10) Token","marking_typevowel_bipartite:std_inflPastSg",-0.0636894983109925,0.588200791534961,-1.220048255,1.1024179025
"Tensor (k=10) Token","sdate_1",0.0201760326711263,1.01619477737996,-2.0094517275,2.0282427525
"Tensor (k=10) Token","sdate:marking_typevowel_unipartite_1",-0.244122275467611,0.989977891054795,-2.2301291625,1.6745568825
"Tensor (k=10) Token","sdate:marking_typevowel_bipartite_1",0.289656071518975,0.968902762119311,-1.5989416375,2.184246965
"Tensor (k=10) Token","t2datelog_token_freq_1",0.0370106804551037,0.800183855218192,-1.537167585,1.67013354
"Tensor (k=10) Token","t2datelog_token_freq_2",-0.0686529081940301,0.637740159840836,-1.3117214225,1.2134955775
"Tensor (k=10) Token","t2datelog_token_freq_3",-0.275870200132474,0.103764741067149,-0.48135167325,-0.073813530475
"Tensor (k=10) Token","sdate:std_inflPastPl_1",0.145257916357803,0.973681779357407,-1.8210027375,2.0698643
"Tensor (k=10) Token","sdate:std_inflPastSg_1",-0.152146526757629,0.963082099249833,-2.0047880825,1.787273575
"Tensor (k=10) Token","sdate:varietyCentralGerman_1",0.43066768472149,0.996386906695804,-1.578439685,2.32298369
"Tensor (k=10) Token","sdate:varietyUpperGerman_1",-0.423519578985426,1.01914838579578,-2.40806341,1.5769425375
"Tensor (k=4) Token","Intercept",-1.46159852295737,2.41703961992057,-6.090157075,3.4403249475
"Tensor (k=4) Token","marking_typevowel_bipartite",-0.181374316727661,0.58736165514709,-1.327170185,0.9585503785
"Tensor (k=4) Token","log_token_freq",-0.0330047470418164,0.506402239046828,-1.0268799875,0.945696147
"Tensor (k=4) Token","has_alt_presno",-1.23485951744903,0.672505533223349,-2.56474881,0.100830532
"Tensor (k=4) Token","log_alt_pres_freq",-0.294663483847224,0.160483156137088,-0.61554054275,0.012833499425
"Tensor (k=4) Token","has_alt_pastno",-2.2594675969475,0.538917059089636,-3.3359224525,-1.2214282725
"Tensor (k=4) Token","log_alt_past_freq",-0.386330822961439,0.186828690267513,-0.75190064375,-0.0200223195500004
"Tensor (k=4) Token","std_inflPastSg",-0.81320629294,0.244600284574598,-1.2886521525,-0.330272822
"Tensor (k=4) Token","marking_typevowel_bipartite:std_inflPastSg",-0.0700743213114638,0.590857612353773,-1.2305387375,1.0767339875
"Tensor (k=4) Token","sdate_1",0.0195543490938887,0.991166615294066,-1.9214569075,1.98333484
"Tensor (k=4) Token","sdate:marking_typevowel_unipartite_1",-0.312524689128972,0.976530839225823,-2.2166351775,1.591457255
"Tensor (k=4) Token","sdate:marking_typevowel_bipartite_1",0.329154345723099,0.954931062791772,-1.5465514075,2.19388785
"Tensor (k=4) Token","t2datelog_token_freq_1",0.0381818280432837,0.871437336797846,-1.6687957675,1.7178085375
"Tensor (k=4) Token","t2datelog_token_freq_2",0.156372186277507,0.472418250355992,-0.91988605125,0.96183893575
"Tensor (k=4) Token","t2datelog_token_freq_3",0.422547834871728,0.164134912869755,0.093457912225,0.75151999775
"Tensor (k=4) Token","sdate:std_inflPastPl_1",0.384612125620403,0.925399650939644,-1.450703265,2.1771231025
"Tensor (k=4) Token","sdate:std_inflPastSg_1",-0.372712820281251,0.94177093017352,-2.1961685675,1.4734975525
"Tensor (k=4) Token","sdate:varietyCentralGerman_1",0.625228187611951,1.00561014742431,-1.3431821725,2.5694257
"Tensor (k=4) Token","sdate:varietyUpperGerman_1",-0.592663456706821,1.00699677049211,-2.5327767925,1.416407865
