"Model","term","Estimate","Est.Error","Q2.5","Q97.5"
"Base (k=4)","Intercept",-1.41414990734533,1.20210166063707,-3.1190987475,1.751991445
"Base (k=4)","marking_typevowel_bipartite",-0.184201639759457,0.58398851128577,-1.3457195175,0.9590707145
"Base (k=4)","log_freq",-0.0349183290945925,0.22164709832957,-0.4716668935,0.39749517225
"Base (k=4)","has_alt_presno",-1.29058469548979,0.652491859099998,-2.6084360575,-0.0117628647250008
"Base (k=4)","log_alt_pres_freq",-0.294786722942683,0.156331027455948,-0.60158070575,0.0130808142999997
"Base (k=4)","has_alt_pastno",-2.2868177040975,0.531366528457005,-3.34600801,-1.2587121775
"Base (k=4)","log_alt_past_freq",-0.399588991663346,0.181887732973443,-0.75829349775,-0.0484922130500001
"Base (k=4)","std_inflPastSg",-0.84770786213375,0.19280842660533,-1.2266162475,-0.48137469375
"Base (k=4)","marking_typevowel_bipartite:std_inflPastSg",-0.0655574686468709,0.584042935752928,-1.213831395,1.0470376525
"Base (k=4)","sdate_1",0.160831654866915,0.979503293886343,-1.7233733825,2.0690816625
"Base (k=4)","sdate:marking_typevowel_unipartite_1",-0.215375625776476,0.948717615792194,-2.0855202025,1.6811092375
"Base (k=4)","sdate:marking_typevowel_bipartite_1",0.398390268843184,0.967603835580697,-1.48223641,2.28646549
"Base (k=4)","sdate:log_freq_1",0.618984517004906,0.976425855866945,-1.2436880475,2.5528113925
"Base (k=4)","sdate:log_freq_2",0.0812628348061855,0.517109010447412,-0.7754041375,1.2168582375
"Base (k=4)","sdate:std_inflPastPl_1",0.506106000350695,1.00133896272166,-1.507197695,2.425895415
"Base (k=4)","sdate:std_inflPastSg_1",-0.345208490654698,0.983922825850938,-2.243551405,1.6239283375
"Base (k=4)","sdate:varietyCentralGerman_1",0.607484100884477,1.00452702210717,-1.34757435,2.5445759225
"Base (k=4)","sdate:varietyUpperGerman_1",-0.43941984865006,0.980784016716488,-2.3359667225,1.490422515
"Base (k=10)","Intercept",-1.55477002316434,1.10776917607819,-3.159351145,1.3152700525
"Base (k=10)","marking_typevowel_bipartite",-0.189175064388466,0.593842644267648,-1.3776516575,0.985469191749999
"Base (k=10)","log_freq",-0.236528496155599,0.311366970849333,-0.89267053575,0.3428338345
"Base (k=10)","has_alt_presno",-1.29011143846856,0.660204440745202,-2.5961621125,-0.0293975835250013
"Base (k=10)","log_alt_pres_freq",-0.298834223973788,0.159196529417698,-0.614635326,0.0113124819
"Base (k=10)","has_alt_pastno",-2.295179258865,0.525473861764544,-3.3451428075,-1.2695925025
"Base (k=10)","log_alt_past_freq",-0.398414802925455,0.18501443560718,-0.75569011875,-0.0301974048000002
"Base (k=10)","std_inflPastSg",-0.83727592421875,0.203027001178995,-1.23715153,-0.428357693000001
"Base (k=10)","marking_typevowel_bipartite:std_inflPastSg",-0.05357153256727,0.589346468885674,-1.2326238925,1.0976722575
"Base (k=10)","sdate_1",0.0582115133129138,0.996870950178155,-1.91324316,2.02232216
"Base (k=10)","sdate:marking_typevowel_unipartite_1",-0.27044866093548,0.94636180272092,-2.13624841,1.5836762275
"Base (k=10)","sdate:marking_typevowel_bipartite_1",0.334104384176796,0.96107988330864,-1.5674557875,2.2213638975
"Base (k=10)","sdate:log_freq_1",0.669647499648169,0.951343681463124,-1.1866660825,2.5390106125
"Base (k=10)","sdate:log_freq_2",-0.0372558236674299,0.526927192324582,-0.97635739825,1.1603670975
"Base (k=10)","sdate:std_inflPastPl_1",0.189027521050565,0.988543780427604,-1.7554558175,2.1021021525
"Base (k=10)","sdate:std_inflPastSg_1",-0.155848339415479,0.98347448711614,-2.040943715,1.770640605
"Base (k=10)","sdate:varietyCentralGerman_1",0.406745204855735,0.975393759403598,-1.5305455675,2.26871264
"Base (k=10)","sdate:varietyUpperGerman_1",-0.380358931720155,0.963052107081948,-2.268867045,1.48797381
"Tensor (k=10)","Intercept",-1.48298455165386,1.49467530434575,-4.0313245175,1.918970175
"Tensor (k=10)","marking_typevowel_bipartite",-0.199210877869871,0.60258727773871,-1.389395365,0.98226768
"Tensor (k=10)","log_freq",-0.0740879322617459,0.570016353158113,-1.2043475175,1.0200737875
"Tensor (k=10)","has_alt_presno",-1.29000236042954,0.66282337337905,-2.609844295,-0.000165381707250002
"Tensor (k=10)","log_alt_pres_freq",-0.293038113586755,0.154900091845941,-0.60415662625,0.00573193986749991
"Tensor (k=10)","has_alt_pastno",-2.27509738964375,0.530162736492699,-3.3329467675,-1.26519349
"Tensor (k=10)","log_alt_past_freq",-0.390219190154145,0.185486937993265,-0.75386503125,-0.0229090508500001
"Tensor (k=10)","std_inflPastSg",-0.85611147675125,0.200169537381208,-1.2479261275,-0.474711963
"Tensor (k=10)","marking_typevowel_bipartite:std_inflPastSg",-0.0395370638214175,0.592025937572562,-1.20746848,1.123845825
"Tensor (k=10)","sdate_1",0.0187458121083825,0.978104960132173,-1.910774445,1.962646205
"Tensor (k=10)","sdate:marking_typevowel_unipartite_1",-0.331125445564443,0.977106678091454,-2.21656405,1.558103605
"Tensor (k=10)","sdate:marking_typevowel_bipartite_1",0.325589168398164,0.957917684568396,-1.5268350425,2.2355623725
"Tensor (k=10)","t2datelog_freq_1",0.0505920556174076,0.807614207169368,-1.5443191775,1.6180930275
"Tensor (k=10)","t2datelog_freq_2",-0.0582737585531088,0.655885125768684,-1.3230292775,1.2557414525
"Tensor (k=10)","t2datelog_freq_3",-0.154176407942304,0.0980830266147265,-0.341072928,0.039543493475
"Tensor (k=10)","sdate:std_inflPastPl_1",0.221408809025886,0.988093959614177,-1.72004134,2.1672873475
"Tensor (k=10)","sdate:std_inflPastSg_1",-0.192519412158545,0.996126571111521,-2.1069816125,1.7850177625
