marking_type,observations,leveled,leveling_pct
vowel_unipartite,35413,351,0.9911614378900404
vowel_bipartite,2878,17,0.590687977762335
consonant_bipartite,1212,68,5.6105610561056105
total,39503,436,1.1037136420018734
