lemma_id,lemma,observations,leveled,share_of_events_pct
94,lîden,169,8,47.05882352941177
17,ziehen,627,3,17.647058823529413
144,lîhen,12,3,17.647058823529413
8,snîden,46,2,11.764705882352942
218,zîhen,22,1,5.882352941176471
19,vâhen,834,0,0.0
7,slahen,638,0,0.0
215,verlieren,165,0,0.0
118,genesen,153,0,0.0
329,kièsen,99,0,0.0
133,hâhen,98,0,0.0
148,mîden,15,0,0.0
