"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Tensor (k=10) Token",0,0,-651.108118169573,38.7960239859676,72.7529293749255,6.62078661900903,1302.21623633915,77.5920479719352
"Tensor (k=10)",-0.532063763979853,2.26209454642423,-651.640181933554,38.853743264845,70.9295527743243,6.43175766739787,1303.28036386711,77.7074865296901
"Base (k=10)",-0.94850933522747,2.60055232946925,-652.056627504803,38.9088123693153,72.3680206023972,6.57596909957564,1304.11325500961,77.8176247386306
"Base (k=4)",-6.07147232254003,3.27460760137631,-657.179590492111,39.0582498221661,73.7471628796708,6.58624753219799,1314.35918098422,78.1164996443323
"Tensor (k=4) Token",-6.63577329764972,2.04473288127676,-657.743891467222,39.1014469132833,77.8149173476177,6.86055774114756,1315.48778293444,78.2028938265666
"Tensor (k=4)",-7.26979456925124,3.09543918732492,-658.377912738822,39.0926705173195,74.733521465317,6.63898964600796,1316.75582547764,78.1853410346391
